No.,Object Name,RA-s,Dec-s,RA,Dec,Redshift (z),cz,z flag,Phys Type,EM Region,Separation,Reference,Note,Photometry,Position,Redshift,Diameter,Distances,Classification,Images,Spectra
1,ABELL S0636,10h29m59.4913s,-35d19m36.171s,157.49788043014,-35.32671434719,0.009767,2928.072937286,SST,GClstr,,0.0,118,0,0,3,6,0,18,0,2,0
2,NGC 3268,10h30m00.6492s,-35d19m31.614s,157.5027051,-35.3254485,0.00934000034,2800.06165964944,SUN,G,"IR,Radio,Vis",0.24809128616022,164,9,97,21,20,18,34,27,5,1
3,[CBR2014] ACO 16,10h29m57.2280s,-35d19m28.416s,157.48845,-35.32456,0.00818,2452.30230644,UUN,,Vis,0.479400461033525,1,0,0,1,1,0,0,0,0,0
4,[CBR2014] ACO 19,10h29m59.3160s,-35d18m51.984s,157.49715,-35.31444,0.009617,2883.104068586,UUN,,Vis,0.737328452567137,1,0,0,1,1,0,0,0,0,0
5,[CBR2014] ACO 20,10h30m00.8280s,-35d20m20.076s,157.50345,-35.33891,0.010113,3031.801127754,UUN,,Vis,0.780874308072615,1,0,0,1,1,0,0,0,0,0
6,WISEA J103001.57-352016.7,10h30m01.5798s,-35d20m16.721s,157.5065827,-35.3379782,0.008821,2644.469272018,UUN,,"IR,Vis",0.798870190124598,1,0,12,2,1,0,0,0,0,0
7,[CBR2014] ACO 24,10h30m02.9880s,-35d19m10.020s,157.51245,-35.31945,0.009835,2948.45882443,UUN,,Vis,0.835876805440296,1,0,0,1,1,0,0,0,0,0
8,WISEA J103003.21-352011.5,10h30m03.2168s,-35d20m11.569s,157.5134037,-35.3365472,0.009385,2813.55221833,UUN,,"IR,Vis",0.961997038721913,1,0,12,2,1,0,0,0,0,0
9,eRASS1 J103007.9-351905,10h29m56.3760s,-35d20m29.400s,157.4849,-35.3415,0.0087,2608.1943846,UUN,GClstr,,1.0911917793657,1,0,0,1,1,0,0,0,0,0
10,WISEA J102954.42-351914.6,10h29m54.4285s,-35d19m14.685s,157.4767858,-35.320746,0.0118081689700146,3540.00000000001,UUN,G,IR,1.09299204913676,10,0,27,7,5,2,0,1,1,1
11,[CBR2014] ACO 28,10h30m04.6800s,-35d20m02.868s,157.5195,-35.33413,0.009976,2990.729561008,UUN,,Vis,1.14800509592592,1,0,0,1,1,0,0,0,0,0
12,[CBR2014] ACO 15,10h29m54.8880s,-35d18m45.036s,157.4787,-35.31251,0.008291,2485.579269278,UUN,,Vis,1.26810015078423,1,0,0,1,1,0,0,0,0,0
13,[CBR2014] ACO 27,10h30m04.3560s,-35d20m27.564s,157.51815,-35.34099,0.009103,2729.010745174,UUN,,Vis,1.31073304485663,1,0,0,1,1,0,0,0,0,0
14,LEDA 083094,10h29m59.5070s,-35d18m12.171s,157.49794617062,-35.30338104107,0.0124119199823232,3720.99999999999,UUN,G,,1.40000206792126,5,0,2,2,2,0,0,1,0,0
15,[CBR2014] ACO 13,10h29m52.5840s,-35d19m20.532s,157.4691,-35.32237,0.008955,2684.64146139,UUN,,Vis,1.43280947088015,1,0,0,1,1,0,0,0,0,0
16,WISEA J103005.06-352031.9,10h30m05.0671s,-35d20m31.962s,157.521113,-35.3422117,0.008426,2526.051251108,UUN,G,"IR,UV",1.46893451213341,12,0,33,11,5,2,0,1,1,0
17,[CBR2014] ACO 23,10h30m01.9080s,-35d20m59.352s,157.50795,-35.34982,0.007643,2291.313756494,UUN,,Vis,1.4713406467286,1,0,0,1,1,0,0,0,0,0
18,[CBR2014] ACO 17,10h29m58.7040s,-35d21m04.860s,157.4946,-35.35135,0.0096,2878.0075968,UUN,,Vis,1.4868337941141,1,0,0,1,1,0,0,0,0,0
