ra,dec,name,color,radius
157.3975,-35.3325,Field1,blue,3960.000000000001
157.49788043014,-35.32671434719,,red,5.0
157.5027051,-35.3254485,,red,5.0
157.48845,-35.32456,,red,5.0
157.49715,-35.31444,,red,5.0
157.50345,-35.33891,,red,5.0
157.5065827,-35.3379782,,red,5.0
157.51245,-35.31945,,red,5.0
157.5134037,-35.3365472,,red,5.0
157.4849,-35.3415,,red,5.0
157.4767858,-35.320746,,red,5.0
157.5195,-35.33413,,red,5.0
157.4787,-35.31251,,red,5.0
157.51815,-35.34099,,red,5.0
157.49794617062,-35.30338104107,,red,5.0
157.4691,-35.32237,,red,5.0
157.521113,-35.3422117,,red,5.0
157.50795,-35.34982,,red,5.0
157.4946,-35.35135,,red,5.0
157.50765,-35.356,,red,5.0
157.525294430877,-35.3061047752761,,red,5.0
157.52265,-35.35434,,red,5.0
157.465454,-35.348873,,red,5.0
157.5318,-35.34762,,red,5.0
157.47675,-35.29652,,red,5.0
157.53471626897,-35.30789456042,,red,5.0
157.4525516,-35.3223465,,red,5.0
157.54095,-35.29938,,red,5.0
157.4556,-35.29448,,red,5.0
157.53285,-35.28004,,red,5.0
157.51755,-35.27168,,red,5.0
157.5339,-35.37792,,red,5.0
157.4212,-35.3258,,red,5.0
157.524825480731,-35.3906844851934,,red,5.0
157.4221504,-35.2901941,,red,5.0
157.4955,-35.40223,,red,5.0
157.51,-35.40777777778,,red,5.0
157.6104776,-35.3594903,,red,5.0
157.4517379,-35.4187784,,red,5.0
157.5573477,-35.416073,,red,5.0
157.4876684,-35.2243981,,red,5.0
157.608121,-35.394039,,red,5.0
157.6280753,-35.384741,,red,5.0
157.6406112,-35.3865376,,red,5.0
157.6064168,-35.2213717,,red,5.0
157.633691,-35.2437804,,red,5.0
157.59,-35.20388888889,,red,5.0
157.62705,-35.21739,,red,5.0
157.687783865252,-35.3590629586456,,red,5.0
157.63875,-35.44405555556,,red,5.0
157.4636675,-35.164077,,red,5.0
157.5958529,-35.1726905,,red,5.0
157.4291545,-35.4967697,,red,5.0
157.65625,-35.45244444444,,red,5.0
157.311751965731,-35.4314404995267,,red,5.0
157.5892169,-35.5180706,,red,5.0
157.5875,-35.5305555555556,,red,5.0
157.6522163,-35.5133529,,red,5.0
157.221293,-35.319214,,red,5.0
157.6055119,-35.5634426,,red,5.0
157.58083333333,-35.58,,red,5.0
157.69791666667,-35.53944444444,,red,5.0
157.5867394,-35.5918848,,red,5.0
157.2108829,-35.1595299,,red,5.0
157.1705089,-35.2096218,,red,5.0
157.32958333333,-35.585,,red,5.0
157.779166666667,-35.5188888888889,,red,5.0
157.6216597,-35.6105955,,red,5.0
157.627129,-35.61273,,red,5.0
157.850905,-35.2205181,,red,5.0
157.25875,-35.56777777778,,red,5.0
157.1221431,-35.2528081,,red,5.0
157.5917036,-35.6349428,,red,5.0
157.1424767,-35.4611306,,red,5.0
157.2463788,-35.5732028,,red,5.0
157.2766573,-35.5950903,,red,5.0
157.24541666667,-35.57916666667,,red,5.0
157.1126397,-35.2400381,,red,5.0
157.24083333333,-35.57916666667,,red,5.0
157.1820729,-35.1235892,,red,5.0
157.5875,-35.6472222222222,,red,5.0
157.2449259,-35.5932833,,red,5.0
157.23583333333,-35.59416666667,,red,5.0
157.22083333333,-35.59277777778,,red,5.0
157.18791666667,-35.57777777778,,red,5.0
157.2231539,-35.6055219,,red,5.0
157.24,-35.62305555556,,red,5.0
157.0798806,-35.4545658,,red,5.0
157.6945479,-35.6553752,,red,5.0
157.3,-35.65777777778,,red,5.0
157.298218,-35.657894,,red,5.0
157.24916666667,-35.63638888889,,red,5.0
157.205,-35.62166666667,,red,5.0
157.75,-35.0075,,red,5.0
157.4406647,-35.705791,,red,5.0
157.0998298,-35.5296339,,red,5.0
157.890446838219,-35.5379243585708,,red,5.0
157.2960549,-35.6876397,,red,5.0
157.312892054447,-35.694848939911,,red,5.0
157.9674532,-35.204987,,red,5.0
157.9822009,-35.4097321,,red,5.0
157.06695,-35.53384,,red,5.0
157.0131554,-35.4420752,,red,5.0
157.1963267,-35.6581481,,red,5.0
157.4644872,-34.9116539,,red,5.0
157.9935948,-35.198363,,red,5.0
157.03375,-35.56583333333,,red,5.0
157.131664193904,-35.6769099653063,,red,5.0
158.0603149,-35.2594043,,red,5.0
157.0280002,-35.5906931,,red,5.0
157.1330605,-35.7051284,,red,5.0
