Name,ra_literature,dec_literature,radvel,ls_id,ref_id,ra,dec,mjd_min,mjd_max,glon,glat,elon,elat,random_id,brickid,objid,maskbits,ra_ivar,dec_ivar,bx,by,dchisq_1,dchisq_2,dchisq_3,dchisq_4,dchisq_5,ebv,pmra,pmdec,parallax,pmra_ivar,pmdec_ivar,parallax_ivar,ref_epoch,gaia_phot_g_mean_mag,gaia_phot_g_mean_flux_over_error,gaia_phot_g_n_obs,gaia_phot_bp_mean_mag,gaia_phot_bp_mean_flux_over_error,gaia_phot_rp_mean_mag,gaia_phot_rp_mean_flux_over_error,gaia_astrometric_excess_noise,gaia_astrometric_excess_noise_sig,gaia_astrometric_weight_al,gaia_a_g_val,gaia_e_bp_min_rp_val,gaia_phot_bp_rp_excess_factor,gaia_astrometric_sigma5d_max,flux_g,flux_r,flux_i,flux_z,flux_w1,flux_w2,flux_w3,flux_w4,flux_ivar_g,flux_ivar_r,flux_ivar_i,flux_ivar_z,flux_ivar_w1,flux_ivar_w2,flux_ivar_w3,flux_ivar_w4,fiberflux_g,fiberflux_r,fiberflux_i,fiberflux_z,fibertotflux_g,fibertotflux_r,fibertotflux_i,fibertotflux_z,mw_transmission_g,mw_transmission_r,mw_transmission_i,mw_transmission_z,mw_transmission_w1,mw_transmission_w2,mw_transmission_w3,mw_transmission_w4,rchisq_g,rchisq_r,rchisq_i,rchisq_z,rchisq_w1,rchisq_w2,rchisq_w3,rchisq_w4,fracflux_g,fracflux_r,fracflux_i,fracflux_z,fracflux_w1,fracflux_w2,fracflux_w3,fracflux_w4,fracmasked_g,fracmasked_r,fracmasked_i,fracmasked_z,fracin_g,fracin_r,fracin_i,fracin_z,psfsize_g,psfsize_r,psfsize_i,psfsize_z,psfdepth_g,psfdepth_r,psfdepth_i,psfdepth_z,galdepth_g,galdepth_r,galdepth_i,galdepth_z,nea_g,nea_r,nea_i,nea_z,blob_nea_g,blob_nea_r,blob_nea_i,blob_nea_z,psfdepth_w1,psfdepth_w2,psfdepth_w3,psfdepth_w4,wise_x,wise_y,sersic,sersic_ivar,shape_r,shape_r_ivar,shape_e1,shape_e1_ivar,shape_e2,shape_e2_ivar,htm9,ring256,nest4096,mag_g,mag_r,mag_i,mag_z,mag_w1,mag_w2,mag_w3,mag_w4,dered_flux_g,dered_flux_r,dered_flux_i,dered_flux_z,dered_flux_w1,dered_flux_w2,dered_flux_w3,dered_flux_w4,dered_mag_g,dered_mag_r,dered_mag_i,dered_mag_z,dered_mag_w1,dered_mag_w2,dered_mag_w3,dered_mag_w4,snr_g,snr_r,snr_i,snr_z,snr_w1,snr_w2,snr_w3,snr_w4,g_r,r_i,r_z,i_z,z_w1,w1_w2,w2_w3,w3_w4,release,brick_primary,fitbits,gaia_phot_bp_n_obs,gaia_phot_rp_n_obs,gaia_phot_variable_flag,gaia_astrometric_n_obs_al,gaia_astrometric_n_good_obs_al,gaia_duplicated_source,gaia_astrometric_params_solved,nobs_g,nobs_r,nobs_i,nobs_z,nobs_w1,nobs_w2,nobs_w3,nobs_w4,ngood_g,ngood_r,ngood_i,ngood_z,anymask_g,anymask_r,anymask_i,anymask_z,allmask_g,allmask_r,allmask_i,allmask_z,wisemask_w1,wisemask_w2,brickname,type,ref_cat,wise_coadd_id
PGC429411,60.31365323781526,-53.48963253055735,1135.0,10995184443589830,435757,60.31343960054607,-53.48964843642176,56593.2771241026,58800.21347854075,263.4393857661921,-46.43101436119886,27.67131769959073,-70.56637418476542,14.778636,65008,1222,4096,1.5629647E12,7.4262213E12,3229.5964,1939.9805,0.0,0.0,0.0,0.0,0.0,0.01626986,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,228.56464,295.65256,343.5223,328.94836,132.04912,76.66777,84.269905,-1231.1471,44.117657,33.181908,14.89437,7.115738,1.2158223,0.37431717,0.0016588764,7.951465E-6,3.7144694,4.8047347,5.5826797,5.3458343,3.7162564,4.807304,5.585002,5.3483877,0.9529793,0.9680779,0.97642606,0.9820167,0.99724656,0.9983081,0.9996389,0.9998636,2.6702387,2.8882701,2.0592782,1.3187667,1.3183148,0.47657478,0.6440079,0.0973236,0.026955225,0.025054503,0.020025458,0.026489161,0.1647545,0.1993417,0.9632245,1.0240557,0.0024761904,0.0028087834,0.0032975215,0.006314332,0.8338815,0.861687,0.92031443,0.8974483,1.3129927,1.1759837,1.2261442,1.22838,6411.641,4844.461,1638.3143,736.32886,3739.1333,2551.2227,883.0528,387.11276,323.30804,317.86136,326.56006,324.35822,328.8223,322.2528,336.18442,337.16882,15.626314,2.9762845,0.0048973286,5.817493E-5,139.69221,190.72473,0.89600205,1284365.2,9.850965,375412.53,-0.39882225,2.1347546E7,0.23837596,1.5799006E7,2303518,709339,140510692,16.602478,16.323046,16.160112,16.20718,17.198162,17.788467,17.68582,,239.84218,305.4016,351.816,334.9723,132.41371,76.7977,84.30035,-1231.3151,16.550186,16.28782,16.13421,16.187477,17.195168,17.786629,17.685427,,1518.152,1703.0693,1325.7634,877.48096,145.60309,46.906464,3.4322548,-3.4716306,0.2794323,0.16293335,0.11586571,-0.047067642,-0.99098206,-0.5903053,0.10264778,,10000,1,528,0,0,0,0,0,0,0,9,10,17,19,562,566,56,56,9,10,17,19,0,0,0,0,0,0,0,0,0,0,0604m535,SER,L3,0591m531
NGC1515,61.00996683419093,-54.10003094002468,1175.0,10995182654718731,889528,61.01017948500232,-54.09987598243031,56548.39051192258,58800.20281966075,264.0948329391098,-45.85179218559859,27.56755391525794,-71.30162285089392,95.957443,63302,779,4112,3.8871357E14,8.975716E13,3328.8955,425.10468,0.0,0.0,0.0,0.0,0.0,0.014222909,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,23486.078,50456.492,72873.29,92651.24,9535.822,14041.949,47398.42,30553.266,0.8236388,0.511488,0.3165494,0.23296212,0.014634626,0.006562036,2.062623E-4,1.6418647E-6,32.717323,70.288506,101.51627,129.06798,32.734833,70.33494,101.60054,129.18324,0.9587713,0.9720374,0.9793611,0.98426133,0.99759257,0.9985208,0.99968433,0.9998808,57.20013,122.03153,104.09108,114.984,10110.754,888.67944,41.101467,0.91462904,0.04078986,0.043633282,0.04520825,0.04809968,3.60566,1.2483383,1.0640095,3.697445,0.0031753452,0.0027358509,0.005417366,0.013874454,0.52555215,0.51707643,0.40052006,0.4266588,1.3738449,1.2136639,1.2805246,1.1189533,5155.608,4693.3354,985.40234,451.00427,3094.7463,2545.953,546.0671,224.52692,195.42717,-416.15,501.3901,1863.2443,0.0,0.0,0.0,0.0,15.484389,2.9529197,0.0049954406,5.828643E-5,317.5981,40.107853,1.2068865,6.671437E8,42.919132,1.2025861E7,0.38525978,1.6988535E10,0.18281503,1.1402539E10,2185695,710903,139111690,11.572974,10.742707,10.343579,10.082871,12.551604,12.131432,10.810591,11.287356,24496.018,51907.977,74409.01,94132.766,9558.835,14062.751,47413.39,30556.908,11.527262,10.711915,10.320936,10.065648,12.548987,12.129825,10.810247,11.287227,21314.684,36085.67,41000.496,44719.188,1153.5833,1137.4877,680.7283,39.14951,0.83026695,0.39912796,0.6598358,0.26070786,-2.4687328,0.4201727,1.3208408,-0.47676563,10000,1,528,0,0,0,0,0,0,0,8,10,13,17,570,574,57,58,8,10,11,12,0,0,64,64,0,0,0,0,0,0,0612m540,SER,L3,0612m546
IC2032,61.76629567706818,-55.32355778700994,1066.0,10995178276918832,1144520,61.76410320457189,-55.32297423672392,56610.2511643226,58800.21082768074,265.5597762358916,-45.05824215087848,26.25429809801699,-72.53436834838176,71.99398,59127,5680,4096,1.0649053E12,1.8422594E12,2239.5168,796.6223,0.0,0.0,0.0,0.0,0.0,0.010605287,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,1178.8644,1611.7275,1902.5255,1898.8822,425.58972,226.05917,1.25404,-1858.366,7.814899,5.837434,1.7462685,0.9103917,0.24623053,0.078026764,5.027858E-4,3.7147847E-6,1.9277494,2.6355932,3.1111233,3.1051657,2.2260842,3.0508049,3.5987103,3.5821,0.96909386,0.97907466,0.9845699,0.98824084,0.99820435,0.99889684,0.9997646,0.9999111,3.0527225,2.5325935,2.1534877,1.3471181,10.045098,1.1170177,0.6312585,0.05763033,0.63108,0.6103354,0.60528237,0.6714097,0.9229993,1.1084515,696.52374,2.7340496,0.008795904,0.006954976,0.005853653,0.0068849954,0.6286698,0.6573094,0.7154501,0.65094894,1.3315411,1.1790942,1.1453205,1.079928,7503.0254,6486.3745,1683.9491,942.7181,4389.3247,3461.2656,862.63196,450.3528,2383.2356,2434.5442,2599.0579,2463.1248,2647.914,2700.1438,2649.701,2632.9524,16.686218,3.1949303,0.005728166,6.658242E-5,216.06226,76.935684,0.65063304,9669320.0,20.920383,148414.62,-0.14597167,6.8280096E7,0.14719224,7.360673E7,2185589,716248,139102349,14.821341,14.481771,14.301674,14.303755,15.927522,16.614445,22.254221,,1216.4604,1646.1743,1932.3417,1921.4772,426.35532,226.30882,1.2543353,-1858.5311,14.787255,14.458811,14.28479,14.290912,15.92557,16.613247,22.253965,,3295.532,3894.0598,2514.1199,1811.808,211.18452,63.14572,0.028119195,-3.581773,0.33957005,0.18009663,0.17801571,-0.0020809174,-1.6237669,-0.686923,-5.639776,,10000,1,528,0,0,0,0,0,0,0,12,16,13,15,599,602,63,63,12,16,13,15,0,0,0,0,0,0,0,0,0,0,0618m552,SER,L3,0613m561
IC2038,62.2257688363482,-55.992814036671696,712.0,10995175714200222,72435,62.22541826017157,-55.99235931461137,56610.25258842258,58800.19486495074,266.33984689998,-44.60027058562692,25.49496537131754,-73.21688439068691,58.511883,56683,6814,4096,1.3051265E13,5.1754765E12,1246.5356,1904.1987,0.0,0.0,0.0,0.0,0.0,0.011301468,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,1455.6267,2363.7017,2918.7944,3177.5579,1382.2256,766.9039,1333.573,2903.8274,5.869325,4.0652404,0.9647393,0.5769855,0.18198282,0.07550135,5.5593246E-4,3.6798945E-6,6.5003242,10.555472,13.034325,14.189873,6.5011783,10.55694,13.036167,14.191927,0.9670988,0.97771645,0.98356533,0.9874738,0.9980866,0.9988245,0.9997492,0.9999053,2.1023324,2.2206264,1.6411794,1.5000468,40.12776,6.925664,0.77021205,0.11431102,0.5267737,0.118525,1.8941811,0.16695303,0.14056167,0.16574964,0.19081943,0.6368924,0.020434394,0.01473048,0.017050052,0.016777653,0.37691557,0.3881828,0.46666783,0.4051705,1.3914263,1.1395502,1.1854001,1.0403614,4420.705,4253.44,587.0217,426.55673,2680.2407,2216.3037,313.20035,199.27937,675.42975,655.0886,672.21796,695.5783,0.0,0.0,0.0,0.0,17.234468,3.220579,0.004904576,5.7189485E-5,121.7729,182.37486,1.188359,7439967.0,24.857178,658045.44,0.27201214,1.1122961E8,-0.425308,1.4582179E8,2186304,719214,136303826,14.592375,14.066018,13.836991,13.744766,14.648553,15.288148,14.687458,13.842573,1505.148,2417.5737,2967.5654,3217.8655,1384.8755,767.80646,1333.9076,2904.1025,14.556052,14.041551,13.818999,13.73108,14.646473,15.286871,14.687185,13.84247,3526.5017,4765.8,2866.8733,2413.659,589.6497,210.72609,31.443277,5.570427,0.5263567,0.2290268,0.32125187,0.092225075,-0.90378666,-0.63959503,0.6006899,0.8448849,10000,1,528,0,0,0,0,0,0,0,8,9,5,8,608,613,58,58,8,9,5,8,0,0,0,0,0,0,0,0,0,0,0621m560,SER,L3,0613m561
IC2039,62.25979871591666,-56.01154976938449,817.0,10995175714200971,533991,62.25979101640939,-56.01156740207083,56610.25258842258,58800.19486495074,266.35689153191,-44.57595985101176,25.50328887582763,-73.24395083888508,40.438698,56683,7563,4096,4.830937E13,5.5805676E13,982.7842,1639.9303,0.0,0.0,0.0,0.0,0.0,0.011423971,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,1546.1321,2653.386,3329.4297,3711.4285,1823.2527,1002.3481,242.12637,2077.1196,6.834291,4.226281,1.5629592,0.957622,0.15924117,0.07579085,6.849631E-4,4.0691743E-6,23.755945,40.76863,51.15588,57.0252,23.758518,40.774353,51.16423,57.03579,0.9667481,0.97747767,0.9833887,0.98733884,0.9980658,0.9988117,0.99974644,0.9999043,4.757151,3.8868563,5.342707,4.033696,19.640594,3.21307,0.68444455,0.09349269,0.37031686,0.22297627,0.17040472,0.086045116,0.042421583,0.053869996,0.7945058,1.0654995,0.008868566,0.0065692468,0.00641028,0.005745864,0.45967782,0.4187204,0.56029665,0.47228566,1.3573751,1.1415719,1.1423558,1.0564846,5197.3486,3919.7363,868.3499,497.66983,3089.6807,2043.563,448.7339,235.51779,843.09,918.2367,903.47656,895.8729,1022.0409,978.3291,982.5428,980.8539,17.234468,3.220579,0.004904576,5.7189485E-5,96.94359,156.89957,2.3895469,4931062.5,14.810019,294790.12,-0.046498716,7.1001144E7,-0.10016326,1.1222065E8,2186307,719214,136303738,14.526883,13.940499,13.694076,13.576147,14.347883,14.997454,16.539894,14.206347,1599.3123,2714.5234,3385.67,3759.022,1826.786,1003.5406,242.18777,2077.3184,14.490167,13.915766,13.675888,13.562313,14.34578,14.996162,16.53962,14.206243,4041.9722,5454.81,4162.3984,3631.9358,727.5696,275.94785,6.3368826,4.1900063,0.5863838,0.24642372,0.36435223,0.1179285,-0.77173615,-0.64957047,-1.5424404,2.3335476,10000,1,528,0,0,0,0,0,0,0,9,8,7,10,608,613,56,56,9,8,7,10,0,0,0,0,0,0,0,0,0,0,0621m560,SER,L3,0613m561
NGC1533,62.46600172246109,-56.11842911452546,764.0,10995175715244260,262064,62.46600786907948,-56.11843922620616,56605.34556066259,58454.31598354075,266.4481752959655,-44.4330054189686,25.57110481009392,-73.39982127164095,8.1196356,56684,2276,53656,2.3727995E15,2.4392019E15,2818.298,171.10678,0.0,0.0,0.0,0.0,0.0,0.016166015,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,37873.754,80412.82,114205.07,143599.17,45217.28,32477.07,24458.61,21038.709,0.45788905,0.22887348,0.059195366,0.048990525,0.0071843346,0.0036654798,2.430607E-4,1.4939758E-6,1009.4327,2143.208,3043.8582,3827.2864,1009.4327,2143.2078,3043.858,3827.2861,0.9532723,0.96827835,0.9765747,0.98213047,0.9972641,0.9983189,0.99964124,0.9998645,1456.1315,579.6652,120.53899,125.62615,28034.62,3066.8716,2.2955222,0.32185772,0.10230128,0.075412996,0.0839928,0.05071208,0.009705071,0.010869157,0.014487501,0.0991623,0.019687034,0.06548666,0.084185064,0.090313055,0.40494958,0.45184264,0.36630747,0.43121153,1.3993131,1.12054,1.145615,1.0848938,4322.8057,382.0001,0.0,0.0,2641.6414,214.39201,0.0,0.0,1182.7936,998.55927,1026.0374,1002.6213,1477.4434,116.81591,0.0,0.0,17.610964,3.3222914,0.005796646,6.6658045E-5,196.32808,20.754534,5.919973,2.138336E7,46.76709,7889877.5,0.07562907,5.4217923E9,-0.064455636,5.1295887E9,2186306,719946,136281849,11.054154,10.236687,9.855786,9.6071205,10.861739,11.221058,11.52892,11.692452,39730.258,83047.22,116944.53,146211.9,45341.332,32531.76,24467.387,21041.56,11.002196,10.201687,9.83005,9.5875435,10.858765,11.219231,11.528531,11.692306,25628.223,38470.074,27786.205,31783.959,3832.6372,1966.266,381.3196,25.715258,0.8174677,0.38090038,0.6295662,0.24866581,-1.2546186,-0.35931873,-0.30786228,-0.16353226,10000,1,528,0,0,0,0,0,0,0,9,9,5,9,628,626,57,57,8,1,0,0,0,2,2,2,0,0,2,2,1,0,0625m560,SER,L3,0613m561
NGC1536,62.75016534584733,-56.48326977025875,1296.0,10995174034375715,1388661,62.74962486513004,-56.48160912949378,56602.35457260258,58454.31598354075,266.8605368528178,-44.16926170705924,25.16267458358877,-73.77842599630979,56.350803,55081,1059,4096,1.6754887E13,5.866816E12,3185.7896,2050.3562,0.0,0.0,0.0,0.0,0.0,0.021842994,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,7089.6836,12521.178,16360.537,19158.047,5552.8022,3934.1377,18277.203,13753.243,1.7493644,1.1498632,0.18242581,0.14531898,0.047302537,0.019888014,2.2880327E-4,1.8700774E-6,8.059492,14.233969,18.59852,21.778706,10.441756,16.67468,21.371523,24.766094,0.9373864,0.95737916,0.9684794,0.9759313,0.9963051,0.99772924,0.9995153,0.99981695,21.486677,40.00652,28.815916,17.182503,791.73676,112.17307,12.584747,0.3353858,0.060587108,0.040009238,0.03455076,0.02964625,0.39829075,0.31124336,0.3378014,0.92230386,0.00763148,0.00714359,0.005843517,0.006412109,0.7720399,0.77077514,0.5960573,0.7634522,1.4497172,1.1122885,1.1568854,1.086114,4538.7207,4336.156,514.04156,381.32617,2813.5447,2187.9834,266.194,185.83661,1394.04,1401.6702,1385.3901,1377.0728,0.0,0.0,0.0,0.0,17.52426,3.2752388,0.0050883153,5.929159E-5,306.8237,195.88512,0.97338206,6.221964E7,33.167164,595734.06,0.23972534,8.953771E8,-0.09721901,4.8155805E8,2186357,720674,136281227,12.873433,12.255887,11.965507,11.794122,13.13872,13.512877,11.845225,12.153987,7563.2456,13078.599,16893.016,19630.53,5573.3955,3943.0916,18286.066,13755.761,12.803229,12.208597,11.930732,11.76767,13.134701,13.510407,11.844699,12.153789,9377.066,13426.669,6987.8037,7303.187,1207.6871,554.8113,276.46545,18.807667,0.6175461,0.29038048,0.4617653,0.17138481,-1.3445978,-0.37415695,1.6676512,-0.3087616,10000,1,528,0,0,0,0,0,0,0,9,9,4,9,628,629,57,57,9,8,4,9,0,1,0,0,0,0,0,0,0,0,0629m565,SER,L3,0639m561
NGC1543,63.17989797619096,-57.737827814686966,1148.0,10995169926060458,676641,63.17986817222354,-57.73785411072693,56605.3441627026,58455.24193796074,268.4062682363651,-43.54436202735365,22.68984297677438,-74.86784502300641,38.936527,51163,6570,53720,1.1554211E15,1.7356747E15,1848.3506,1966.3877,0.0,0.0,0.0,0.0,0.0,0.027286295,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,46305.582,96548.7,135649.48,169271.28,31354.922,33710.176,29174.074,22674.328,0.5039039,0.24698359,0.0752018,0.055899248,0.008367026,0.0034496803,1.671281E-4,1.131507E-6,636.4071,1326.9303,1864.3173,2326.403,636.4072,1326.9305,1864.3175,2326.4033,0.9224031,0.94704384,0.96078026,0.9700241,0.9953865,0.99716413,0.99939454,0.99977136,175.63118,310.07095,312.394,295.42514,47540.324,4759.9155,7.0686655,0.26416487,0.43413463,0.17106524,0.043895863,0.05236253,0.07288045,0.02493115,0.04461798,0.17819585,0.009792151,0.035575844,0.05505722,0.05582417,0.3555856,0.3504817,0.34662318,0.34693897,1.4294041,1.136669,1.2288506,1.175624,3401.8872,0.0,0.0,0.0,2075.9138,0.0,0.0,0.0,3268.5588,3126.4893,3313.1064,3133.378,1961.861,0.0,0.0,0.0,17.60356,3.2629693,0.0041876733,4.879686E-5,177.39769,188.75557,4.085543,6.239212E7,45.74226,2.1615154E7,-0.15769683,1.0663158E10,-0.03847604,8.5137403E9,2186463,725654,136269496,10.835917,10.038134,9.668955,9.428542,11.259235,11.180597,11.337507,11.611164,50201.027,101947.45,141186.8,174502.14,31500.248,33806.047,29191.748,22679.514,10.748219,9.979059,9.625515,9.395498,11.254215,11.177514,11.33685,11.610915,32870.57,47982.24,37199.086,40020.848,2868.08,1979.9327,377.1567,24.11921,0.7977829,0.36917877,0.6095915,0.24041271,-1.8306932,0.07863808,-0.15690994,-0.27365685,10000,1,528,0,0,0,0,0,0,0,11,10,6,10,636,639,49,49,6,0,0,0,0,2,2,2,0,2,2,2,1,0,0631m577,SER,L3,0636m576
PGC381152,63.58447259041829,-58.20736977965901,1233.0,10995168322789361,1252094,63.58446464325638,-58.20747027446048,56611.15175854259,58455.24331105073,268.9201076226751,-43.18793863938154,22.02331788642071,-75.35493322012978,61.222382,49634,8177,4096,9.928642E12,6.1768283E12,1501.5566,2383.787,0.0,0.0,0.0,0.0,0.0,0.02592827,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,264.66217,365.4177,428.3213,420.08273,190.663,112.12393,77.973175,-702.33844,56.11818,38.77833,10.185575,5.007362,1.1193558,0.4139348,0.0019646154,8.976712E-6,6.6685324,9.207209,10.792152,10.584571,6.687117,9.247906,10.844398,10.647372,0.9261186,0.94961184,0.96269536,0.9714945,0.99561554,0.9973051,0.99942464,0.9997827,3.5944862,4.5854254,5.0739026,1.6966624,1.6167436,0.44937068,0.60116065,0.071121775,0.059085015,0.05359381,0.045602776,0.06264707,0.179924,0.20148048,2.4331894,2.7220736,0.0043414915,0.0024030355,0.0032894604,0.0031481786,0.69242424,0.733218,0.7777853,0.73435277,1.2999882,1.119119,1.1957921,1.1731427,7961.029,5865.2476,1001.3672,441.24097,4630.1895,3001.0366,534.1719,230.37128,248.2203,246.98636,249.44835,249.46783,249.60736,247.591,249.45863,249.82985,17.27759,3.263308,0.0049129482,5.7237234E-5,143.69714,161.24165,1.1096961,1439169.1,6.31691,346715.25,0.12458652,1.8487228E7,-0.12420626,1.7685648E7,2184675,727041,136268089,16.44327,16.093025,15.920576,15.941663,16.799334,17.375753,17.770138,,285.77567,384.80743,444.91882,432.40875,191.50262,112.42691,78.01807,-702.4911,16.359938,16.036892,15.879298,15.910264,16.794563,17.372824,17.769512,,1982.639,2275.5383,1366.9808,940.02484,201.7207,72.13803,3.4560816,-2.1042876,0.35024452,0.17244911,0.15136242,-0.021086693,-0.8576708,-0.57641983,-0.39438438,,10000,1,528,0,0,0,0,0,0,0,11,11,7,11,624,625,55,56,11,11,7,11,0,0,0,0,0,0,0,0,0,0,0635m582,SER,L3,0636m576
NGC1546,63.65257037882457,-56.06048111481024,1238.0,10995175717350501,248741,63.65187782970791,-56.06068052347999,56602.35457260258,58454.31598354075,266.0910519115783,-43.82037178168894,27.50508113166754,-73.77735129332987,77.131416,56686,11365,4352,7.8608095E14,5.003642E14,558.4135,964.2679,0.0,0.0,0.0,0.0,0.0,0.014715297,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,17202.725,38354.555,58224.94,76170.2,11292.056,14030.316,231269.33,205918.83,0.89880806,0.49335635,0.14212593,0.1220381,0.013796384,0.0056309113,3.4901104E-4,2.44219E-6,108.48068,241.86449,367.1675,480.33063,110.61189,250.18266,381.97662,502.31262,0.9573749,0.97108346,0.97865427,0.9837209,0.9975093,0.99846965,0.9996734,0.9998767,73.740166,171.32265,181.20413,226.23782,9694.644,1576.3544,2331.5703,40.66927,0.07051316,0.07306709,0.19021781,0.11884211,4.7551756,2.0967643,0.2835081,0.98241234,0.0049890797,0.0054939007,0.0049007377,0.0059513478,0.38537195,0.35798648,0.42048994,0.42016643,1.3333809,1.1126509,1.1295521,1.1170868,4598.1597,4502.1685,628.5068,403.70486,2694.2317,2300.7627,321.37344,203.0576,3023.3423,2854.7617,3370.3127,2859.4082,3366.1338,3474.0056,3290.1897,3377.094,17.500477,3.3907824,0.006345524,7.3948104E-5,54.353226,93.50515,2.4267168,1.3688858E8,37.8627,2064475.0,0.16622952,3.576799E9,-0.34919637,4.604672E9,2185914,719217,139076503,11.911007,11.040458,10.587228,10.295537,12.368068,12.132331,9.0897045,9.21576,17968.64,39496.66,59494.902,77430.7,11320.251,14051.82,231344.88,205944.22,11.863712,11.008599,10.563801,10.277717,12.36536,12.130669,9.089351,9.215626,16309.127,26939.982,21950.566,26609.262,1326.3424,1052.8265,4320.536,321.7998,0.8705492,0.4532299,0.74492073,0.29169083,-2.0725307,0.23573685,3.0426264,-0.12605572,10000,1,528,0,0,0,0,0,0,0,8,8,5,10,624,624,73,72,8,8,5,10,0,0,0,0,0,0,0,0,1,0,0634m560,SER,L3,0639m561
