ra,dec,name,color,radius
55.0493392,-18.5800438,gal,red,5.0
54.99208333333,-18.62666666667,gal,red,5.0
55.140811,-18.6511028,gal,red,5.0
55.0297158,-18.443472,gal,red,5.0
55.1802356,-18.645386,gal,red,5.0
55.21915449257,-18.47708842211,gal,red,5.0
55.2199881,-18.4777832,gal,red,5.0
54.8784869,-18.6881807,gal,red,5.0
55.0560684,-18.3189568,gal,red,5.0
54.84633333333,-18.75841666667,gal,red,5.0
54.7687996,-18.5320482,gal,red,5.0
55.348819,-18.6355639,gal,red,5.0
55.2070341,-18.8472304,gal,red,5.0
55.2880491,-18.3141406,gal,red,5.0
55.0798755,-18.9314253,gal,red,5.0
55.0425,-18.94444444444,gal,red,5.0
55.17745448907,-18.94389936388,gal,red,5.0
54.6607706,-18.427984,gal,red,5.0
55.37397,-18.263683,gal,red,5.0
55.374728,-18.263212,gal,red,5.0
55.4995175,-18.7130459,gal,red,5.0
54.6754,-18.89949,gal,red,5.0
55.4361287,-18.2669519,gal,red,5.0
55.0665653,-19.0817335,gal,red,5.0
55.4836969,-18.8951952,gal,red,5.0
55.268375,-19.09444444444,gal,red,5.0
55.63525,-18.38336111111,gal,red,5.0
55.478375,-18.14383333333,gal,red,5.0
55.5549836,-18.9478949,gal,red,5.0
55.3276687,-18.0351287,gal,red,5.0
54.4134365,-18.3394406,gal,red,5.0
54.92355487797,-17.91818625036,gal,red,5.0
54.4675053,-19.0081387,gal,red,5.0
54.8912899,-19.2663234,gal,red,5.0
55.0108822,-19.3669463,gal,red,5.0
55.73924338733,-19.02064208116,gal,red,5.0
55.0002789,-19.4263944,gal,red,5.0
55.2506715,-19.4556533,gal,red,5.0
56.0105243,-18.4717174,gal,red,5.0
55.444455,-17.7392462,gal,red,5.0
54.6244708333333,-23.0274722222222,gal,red,5.0
54.4302491,-22.908821,gal,red,5.0
54.8410194,-22.7247136,gal,red,5.0
54.5735517,-23.4192134,gal,red,5.0
54.56895833333,-22.4865,gal,red,5.0
54.7008528,-22.4714422,gal,red,5.0
55.1730499,-22.6511395,gal,red,5.0
55.2621593,-22.7190772,gal,red,5.0
55.2368696,-22.5645688,gal,red,5.0
54.2322874,-23.740791,gal,red,5.0
54.9214502,-23.8447417,gal,red,5.0
55.3629557,-22.4728776,gal,red,5.0
55.170691,-22.2874728,gal,red,5.0
55.57834812166,-22.75255914242,gal,red,5.0
51.5717781,-21.3351665,gal,red,5.0
51.5715,-21.33586111111,gal,red,5.0
51.6180681,-21.3554753,gal,red,5.0
51.5101589,-21.3405256,gal,red,5.0
51.4692067,-21.2890986,gal,red,5.0
51.6305142,-21.2168131,gal,red,5.0
51.89791666667,-21.22825,gal,red,5.0
51.8979621,-21.2280916,gal,red,5.0
51.202275,-21.33622694444,gal,red,5.0
51.1066508,-21.5439866,gal,red,5.0
51.92566666667,-21.69961111111,gal,red,5.0
51.92525263062,-21.70013991227,gal,red,5.0
51.23024,-21.7838108,gal,red,5.0
50.7775134,-21.375158,gal,red,5.0
52.5832553,-21.1434316,gal,red,5.0
56.2080878,-21.92065,gal,red,5.0
55.7045461,-22.1083336,gal,red,5.0
55.86025,-21.32894444444,gal,red,5.0
56.2889978,-22.6286249,gal,red,5.0
56.2904166666667,-22.6405555555556,gal,red,5.0
56.145515276327,-21.1922485110609,gal,red,5.0
55.9096789849011,-21.2376146469038,gal,red,5.0
55.379017,-21.681679,gal,red,5.0
57.0585975,-21.4743276,gal,red,5.0
57.0658736,-21.4701718,gal,red,5.0
55.23808333333,-21.71386111111,gal,red,5.0
55.2380105,-21.7135415,gal,red,5.0
55.23778906703,-21.7130527202,gal,red,5.0
55.3629557,-22.4728776,gal,red,5.0
53.8106536,-20.3737591,gal,red,5.0
53.4711709,-20.2824949,gal,red,5.0
53.60036214635,-20.76553507322,gal,red,5.0
54.2364188,-20.5896913,gal,red,5.0
54.1628041666667,-20.9019583333333,gal,red,5.0
53.86703856984,-21.21708128367,gal,red,5.0
53.5439742,-19.5582846,gal,red,5.0
53.0123382,-20.8189049,gal,red,5.0
53.7060752,-21.2565603,gal,red,5.0
53.24011,-21.089436,gal,red,5.0
53.90620833333,-21.29405555556,gal,red,5.0
53.4492161,-19.4922088,gal,red,5.0
53.44879166667,-19.49205555556,gal,red,5.0
53.5803135,-19.4242846,gal,red,5.0
