No.,Object Name,RA-s,Dec-s,RA,Dec,Redshift (z),cz,z flag,Phys Type,EM Region,Separation,Reference,Note,Photometry,Position,Redshift,Diameter,Distances,Classification,Images,Spectra
1,NGC 1332,03h26m17.2267s,-21d20m06.599s,51.5717781,-21.3351665,0.0054,1618.8792732,SUN,G,"IR,Radio,X-ray",0.0,390,7,113,39,29,22,10,28,18,3
2,6dF J0326172-212007,03h26m17.1600s,-21d20m09.100s,51.5715,-21.33586111111,0.005237,1570.013102546,SLS,G,Vis,0.0444804631280464,4,0,2,1,1,0,0,0,0,0
3,NGC 1331,03h26m28.3363s,-21d21m19.711s,51.6180681,-21.3554753,0.004036,1209.962360488,UUN,G,"IR,UV,X-ray",2.85950352276346,103,5,80,24,12,18,4,11,5,1
4,ESO 548- G 016,03h26m02.4381s,-21d20m25.892s,51.5101589,-21.3405256,0.007068,2118.933093144,SUN,G,"IR,UV",3.45869529851431,43,1,29,14,5,15,0,5,6,1
6,WISEA J032552.60-211720.7,03h25m52.6096s,-21d17m20.755s,51.4692067,-21.2890986,0.004623,1385.940533334,SLS,G,"IR,UV,X-ray",6.36491898161986,19,0,31,10,6,2,0,0,1,1
7,WISEA J032631.32-211300.5,03h26m31.3234s,-21d13m00.527s,51.6305142,-21.2168131,0.006284,1883.895806072,SLS,G,"IR,UV,X-ray",7.82378145251985,33,0,32,14,8,2,0,1,1,1
8,ESO 548- G 021,03h27m35.5000s,-21d13m41.700s,51.89791666667,-21.22825,0.005617,1683.934236586,S1L,G,Radio,19.3294273110364,72,2,26,20,17,16,11,16,5,3
9,WISEA J032735.51-211341.1,03h27m35.5109s,-21d13m41.129s,51.8979621,-21.2280916,0.005807,1740.894803606,SLS,G,IR,19.3349885632548,12,0,25,5,1,2,0,0,1,1
10,NGC 1325A,03h24m48.5460s,-21d20m10.417s,51.202275,-21.33622694444,0.0044470001,1333.17709070525,SUN,G,"IR,Radio",20.6508396438302,90,4,34,23,9,19,1,13,8,1
12,NGC 1325,03h24m25.5961s,-21d32m38.351s,51.1066508,-21.5439866,0.005307,1590.998574606,S1L,G,"IR,Radio",28.8402403184429,223,9,72,33,29,20,27,51,14,5
13,6dF J0327422-214159,03h27m42.1600s,-21d41m58.600s,51.92566666667,-21.69961111111,0.004313,1293.004871354,SLS,G,,29.4677730557746,6,0,0,2,2,0,0,0,0,1
14,ESO 548- G 022,03h27m42.0606s,-21d42m00.503s,51.92525263062,-21.70013991227,0.00431598582776889,1293.9,UUN,G,,29.4758258434978,20,1,7,8,3,13,0,2,2,0
16,ESO 548- G 011,03h24m55.2576s,-21d47m01.718s,51.23024,-21.7838108,0.00485669322608509,1456.0,UUN,G,"IR,Radio,UV",32.9824278825131,34,2,24,11,4,16,0,6,3,0
18,NGC 1315,03h23m06.6032s,-21d22m30.568s,50.7775134,-21.375158,0.00538699981,1614.98191428543,UUN,G,"IR,UV,Vis",44.4486453385967,76,4,40,24,17,19,3,12,4,1
20,WISEA J033019.98-210836.3,03h30m19.9812s,-21d08m36.353s,52.5832553,-21.1434316,0.00416,1247.13662528,SLS,G,IR,57.7242183019094,6,0,13,4,1,0,0,0,0,0
