Name,ra_literature,dec_literature,radvel,ls_id,ref_id,ra,dec,mjd_min,mjd_max,glon,glat,elon,elat,random_id,brickid,objid,maskbits,ra_ivar,dec_ivar,bx,by,dchisq_1,dchisq_2,dchisq_3,dchisq_4,dchisq_5,ebv,pmra,pmdec,parallax,pmra_ivar,pmdec_ivar,parallax_ivar,ref_epoch,gaia_phot_g_mean_mag,gaia_phot_g_mean_flux_over_error,gaia_phot_g_n_obs,gaia_phot_bp_mean_mag,gaia_phot_bp_mean_flux_over_error,gaia_phot_rp_mean_mag,gaia_phot_rp_mean_flux_over_error,gaia_astrometric_excess_noise,gaia_astrometric_excess_noise_sig,gaia_astrometric_weight_al,gaia_a_g_val,gaia_e_bp_min_rp_val,gaia_phot_bp_rp_excess_factor,gaia_astrometric_sigma5d_max,flux_g,flux_r,flux_i,flux_z,flux_w1,flux_w2,flux_w3,flux_w4,flux_ivar_g,flux_ivar_r,flux_ivar_i,flux_ivar_z,flux_ivar_w1,flux_ivar_w2,flux_ivar_w3,flux_ivar_w4,fiberflux_g,fiberflux_r,fiberflux_i,fiberflux_z,fibertotflux_g,fibertotflux_r,fibertotflux_i,fibertotflux_z,mw_transmission_g,mw_transmission_r,mw_transmission_i,mw_transmission_z,mw_transmission_w1,mw_transmission_w2,mw_transmission_w3,mw_transmission_w4,rchisq_g,rchisq_r,rchisq_i,rchisq_z,rchisq_w1,rchisq_w2,rchisq_w3,rchisq_w4,fracflux_g,fracflux_r,fracflux_i,fracflux_z,fracflux_w1,fracflux_w2,fracflux_w3,fracflux_w4,fracmasked_g,fracmasked_r,fracmasked_i,fracmasked_z,fracin_g,fracin_r,fracin_i,fracin_z,psfsize_g,psfsize_r,psfsize_i,psfsize_z,psfdepth_g,psfdepth_r,psfdepth_i,psfdepth_z,galdepth_g,galdepth_r,galdepth_i,galdepth_z,nea_g,nea_r,nea_i,nea_z,blob_nea_g,blob_nea_r,blob_nea_i,blob_nea_z,psfdepth_w1,psfdepth_w2,psfdepth_w3,psfdepth_w4,wise_x,wise_y,sersic,sersic_ivar,shape_r,shape_r_ivar,shape_e1,shape_e1_ivar,shape_e2,shape_e2_ivar,htm9,ring256,nest4096,mag_g,mag_r,mag_i,mag_z,mag_w1,mag_w2,mag_w3,mag_w4,dered_flux_g,dered_flux_r,dered_flux_i,dered_flux_z,dered_flux_w1,dered_flux_w2,dered_flux_w3,dered_flux_w4,dered_mag_g,dered_mag_r,dered_mag_i,dered_mag_z,dered_mag_w1,dered_mag_w2,dered_mag_w3,dered_mag_w4,snr_g,snr_r,snr_i,snr_z,snr_w1,snr_w2,snr_w3,snr_w4,g_r,r_i,r_z,i_z,z_w1,w1_w2,w2_w3,w3_w4,release,brick_primary,fitbits,gaia_phot_bp_n_obs,gaia_phot_rp_n_obs,gaia_phot_variable_flag,gaia_astrometric_n_obs_al,gaia_astrometric_n_good_obs_al,gaia_duplicated_source,gaia_astrometric_params_solved,nobs_g,nobs_r,nobs_i,nobs_z,nobs_w1,nobs_w2,nobs_w3,nobs_w4,ngood_g,ngood_r,ngood_i,ngood_z,anymask_g,anymask_r,anymask_i,anymask_z,allmask_g,allmask_r,allmask_i,allmask_z,wisemask_w1,wisemask_w2,brickname,type,ref_cat,wise_coadd_id
FCC_244,55.12916666666667,-35.878055555555555,686.824618,10995259330799864,226365,55.12774891248699,-35.8778992347816,56669.1822497726,58440.24412433073,237.4155876700377,-53.21341991024986,39.12247071302214,-53.33385179095628,92.837364,136426,10488,4096,6.0072487E11,6.2324795E11,567.85156,3476.5261,0.0,0.0,0.0,0.0,0.0,0.0089371875,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,59.171597,105.46371,131.28247,144.68169,57.6839,27.081556,1.8557163,-148.68335,184.65773,42.249573,13.762244,3.3940716,1.0384178,0.25729766,0.0012914729,6.1611254E-6,0.9852319,1.756015,2.185908,2.4090106,0.9852319,1.756015,2.185908,2.4090106,0.973891,0.98233676,0.98698103,0.99008125,0.9984866,0.9990703,0.99980164,0.9999251,0.98898774,0.99698687,1.037011,1.0218866,1.2015978,0.5169305,0.7681712,0.09769463,0.037544332,0.065897696,0.14154115,0.19372308,0.6232982,0.83642495,36.54562,3.931273,0.012577971,0.0057334504,0.0064294194,0.01155075,0.91489995,0.8896675,0.83506775,0.7692899,1.947313,1.2664173,1.1826822,1.088498,8381.33,4117.3594,1427.3405,397.1332,5559.7783,2273.3928,747.7994,194.3959,325.36435,305.92938,304.36765,303.69717,327.23712,306.49524,305.16135,303.76886,6.979071,1.2990465,0.003495585,4.1666626E-5,57.608337,334.42236,0.8252164,231760.19,7.929632,31562.457,-0.008256051,1338545.4,-0.31803912,3535720.2,2354015,623261,141449368,18.069717,17.442242,17.204483,17.098967,18.097364,18.918316,21.82872,,60.757923,107.36003,133.01418,146.13112,57.77133,27.106758,1.8560846,-148.69449,18.040993,17.422894,17.190256,17.088142,18.095718,18.917307,21.828506,,804.07587,685.5106,487.02512,266.54715,58.7815,13.736989,0.06668901,-0.36905608,0.62747574,0.23775864,0.34327507,0.10551643,-0.9983978,-0.82095146,-2.9104042,,10000,1,528,0,0,0,0,0,0,0,22,16,10,10,248,245,41,41,22,16,10,10,0,0,0,0,0,0,0,0,0,0,0550m360,SER,L3,0559m364
FCC_296,56.137499999999996,-35.19583333333334,694.919015,10995263022834381,957323,56.13679921231206,-35.19593503915764,56671.17264147259,58817.32021331074,236.2679168482224,-52.40223143414862,40.81878213742061,-53.00914409200391,95.435814,139947,8909,4096,7.2938234E12,6.696199E12,1140.3779,2542.1829,0.0,0.0,0.0,0.0,0.0,0.00872713,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,327.52,605.1227,772.2404,880.13837,381.42883,186.0253,48.071327,399.04602,46.99142,15.760674,9.315939,1.5232649,0.38638756,0.12503119,7.290312E-4,4.070278E-6,4.3987913,8.127163,10.371655,11.820789,4.398791,8.127163,10.371655,11.820789,0.9744968,0.9827483,0.9872851,0.99031323,0.9985221,0.9990921,0.9998063,0.99992687,1.1199816,1.1779643,1.2815479,1.1120455,7.250615,1.8558733,0.6031195,0.09891726,0.04139874,0.024265619,0.011409808,0.009486194,0.054115046,0.07753556,1.6555927,2.9431732,0.016594807,0.014826464,0.01012216,0.008467526,0.68507093,0.81362545,0.7448916,0.7770356,1.6890444,1.2462909,1.2193981,1.0881941,8434.916,4617.803,2201.6714,431.09644,5374.8843,2505.792,1177.5145,210.81348,672.9584,669.1362,577.5856,647.624,716.2815,687.4239,650.7889,693.20654,7.5687246,1.4266295,0.0037076818,4.337558E-5,110.34761,243.96413,1.5121117,3318452.0,10.747101,818952.94,0.0219093,1.4873403E7,-0.12633833,3.165966E7,2354116,619168,141493128,16.211905,15.545391,15.280619,15.138622,16.046467,16.82607,18.295284,15.997442,336.0914,615.7453,782.18585,888.74744,381.99338,186.19435,48.080643,399.0752,16.183857,15.526497,15.266726,15.128054,16.04486,16.825085,18.295074,15.997363,2245.159,2402.3198,2357.034,1086.2722,237.09647,65.778076,1.2979536,0.80507255,0.66651344,0.26477242,0.4067688,0.14199638,-0.90784454,-0.77960396,-1.4692135,2.297842,10000,1,528,0,0,0,0,0,0,0,15,13,13,11,278,275,43,40,15,13,13,11,0,0,0,0,0,0,0,0,0,0,0560m352,SER,L3,0566m349
FCC_227,54.958333333333336,-35.522777777777776,700.0,10995261785511665,0,54.95870032866375,-35.52284279077872,56669.1822497726,58216.97941824074,236.8274226441898,-53.35929434364468,39.13568747689833,-52.95326260406707,45.755478,138767,5873,0,3.524867E10,3.465541E10,1690.7916,1485.6243,21279.438,54996.39,40848.844,55057.05,0.0,0.011445692,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,12.906036,21.843374,26.880703,29.232553,8.583649,8.023045,60.617874,-2745.1274,120.24337,50.858803,15.263454,3.5333612,1.4889822,0.33530384,0.0014257792,6.4168125E-6,0.33917335,0.57404846,0.7064305,0.76823765,0.33917338,0.5740486,0.7064308,0.76823807,0.96668595,0.97743535,0.98335737,0.98731494,0.9980622,0.99880946,0.99974597,0.9999041,0.9365444,1.1102105,1.0540825,1.0360061,0.72984064,0.39178777,0.6684619,0.058163874,0.058012728,0.06102813,0.094784535,0.12573196,2.7602785,1.8391792,1.4279631,1.0733169,0.11768367,0.0294199,0.06259598,0.029057259,0.739919,0.93247163,0.88841504,0.9987175,1.7229744,1.2675893,1.172229,1.1291395,4986.937,3202.0496,1078.4039,271.47495,3090.2495,1766.0454,547.9112,135.37321,222.1625,221.58675,220.11275,220.26111,215.28198,222.01396,204.71408,220.45296,6.76306,1.3067839,0.003227329,3.9441427E-5,162.28503,119.2791,1.0,0.0,4.9053564,3360.0374,0.0,0.0,0.0,0.0,2354007,621212,141455442,19.723019,19.151701,18.9264,18.835333,20.165821,20.239153,18.043499,,13.350806,22.347641,27.33564,29.608135,8.600314,8.032608,60.633278,-2745.3906,19.686232,19.12692,18.908176,18.821472,20.163713,20.237858,18.043222,,141.52184,155.77681,105.0188,54.949123,10.474099,4.645778,2.2889001,-6.9537997,0.5713177,0.22530174,0.3163681,0.09106636,-1.3304882,-0.07333183,2.195654,,10000,1,0,0,0,0,0,0,0,0,13,14,8,8,250,248,38,38,12,14,7,8,2049,0,2048,0,0,0,0,0,0,0,0549m355,REX,,0548m349
FCC_B1379,54.979166666666664,-33.053333333333335,708.109885,10995274281400277,137892,54.97915130218927,-33.0531904567025,56669.1800037026,58817.32401210074,232.6907920892922,-53.32261160981817,40.63745207747357,-50.66459057475667,52.144958,150684,14293,4096,7.6212197E12,1.4889077E13,802.27026,1068.2275,0.0,0.0,0.0,0.0,0.0,0.008882392,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,193.1407,315.10742,381.47488,401.49173,191.11058,102.77364,3.819225,269.5503,173.49419,22.944588,75.72203,2.6092207,0.80017555,0.23926389,0.0012571438,6.1060346E-6,4.032246,6.5785756,7.964145,8.382042,4.0324497,6.578981,7.964618,8.382513,0.974049,0.9824441,0.9870603,0.99014175,0.9984958,0.99907595,0.9998029,0.99992555,15.066535,7.865707,12.392308,3.4008617,3.1625798,1.1101265,0.5474887,0.09315348,0.0016278197,0.0016767365,0.0017568723,0.002457806,0.011962483,0.02661592,14.535878,3.627717,0.002722346,5.8063184E-4,0.004674313,0.0017216445,0.65563244,0.6923172,0.81195396,0.7273628,1.3274122,1.1864529,1.2234925,1.1041349,22670.742,3080.5276,7582.604,290.40396,13230.947,1644.5441,4057.5996,142.97531,272.3715,285.3815,267.75128,285.35376,278.1316,285.3993,275.68195,285.43744,7.083938,1.3227763,0.003487318,4.211984E-5,76.97409,104.3725,1.0224698,2843733.8,7.016813,2967195.2,-0.18048294,3.7034444E7,0.12013326,3.2740324E7,2353926,607900,141528556,16.785315,16.253853,16.046335,15.990808,16.796787,17.470295,21.045061,16.4234,198.28644,320.73828,386.47577,405.48914,191.39848,102.8687,3.819978,269.57037,16.756767,16.234623,16.032194,15.980052,16.795155,17.469292,21.044847,16.423319,2543.995,1509.3806,3319.5337,648.5329,170.95325,50.271324,0.1354153,0.6660693,0.5314617,0.20751762,0.26304436,0.055526733,-0.8059788,-0.6735077,-3.5747662,4.62166,10000,1,528,0,0,0,0,0,0,0,14,9,23,8,259,254,40,42,14,9,23,8,0,0,0,0,0,0,0,0,0,0,0548m330,SER,L3,0557m334
FCC_B470,51.891666666666666,-35.717777777777776,723.0,10995260545057433,953014,51.8922493251243,-35.71799886084265,56662.1913768426,58817.33543257074,237.3371738858366,-55.84203664476222,35.23437701009347,-52.16127394968645,12.559069,137584,17049,6914,2.64773E13,1.6943801E13,298.25,2238.1812,0.0,0.0,0.0,0.0,0.0,0.011874357,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,169.43985,314.38358,422.99725,509.74258,525.0951,290.51074,500.29108,312.8889,158.78908,25.302128,52.284508,2.8831365,0.4959765,0.19584283,0.0010863467,5.0217895E-6,6.775175,12.570855,16.91385,20.382427,6.7752757,12.571,16.914116,20.382599,0.96546006,0.97660017,0.9827395,0.986843,0.99798965,0.99876493,0.9997365,0.99990046,3.8466358,3.164372,4.238453,2.8019717,73.02616,2.2525716,1.0968046,0.09451451,0.011712912,0.0064357775,0.008185295,0.0025528597,0.18922536,0.4657051,0.40883562,1.7606746,0.11231021,0.018643897,0.22324711,0.06357885,0.5817898,0.59638304,0.6689776,0.5329797,1.2807232,1.1759636,1.3554901,1.1344377,16857.521,2910.6812,3444.8904,234.13757,9588.36,1526.4255,2018.5226,118.96548,182.95955,190.3582,187.46571,175.01654,152.4505,191.14081,130.31174,194.14522,7.7387652,1.4545029,0.0028026283,3.341376E-5,29.176447,214.91573,1.544566,1057391.4,6.370167,2228178.8,0.14375812,2.2553772E7,0.22965801,3.001204E7,2355644,622227,141469024,16.927462,16.25635,15.934156,15.731623,15.699405,16.342094,15.751943,16.261524,175.50166,321.91635,430.42664,516.5387,526.15283,290.87,500.42294,312.92004,16.889297,16.230642,15.915252,15.717243,15.69722,16.340754,15.751657,16.261417,2135.1377,1581.3877,3058.6096,865.5328,369.80136,128.56302,16.489481,0.70116365,0.67111206,0.32219315,0.52472687,0.20253372,0.03221798,-0.6426897,0.5901518,-0.50958157,10000,1,528,0,0,0,0,0,0,0,12,7,20,7,289,288,31,33,11,7,15,7,1,0,128,0,0,0,0,0,33,33,0517m357,SER,L3,0522m364
NGC_1375/FCC_148,53.82083333333333,-35.265277777777776,739.88789,10995263015486509,243235,53.82000142525202,-35.26567619635837,56973.3443114926,58493.19440347074,236.4296291472072,-54.29345336439878,37.88318276936081,-52.36114606389484,11.672737,139940,1069,4112,1.6998774E14,6.827374E14,3133.1768,1583.3031,0.0,0.0,0.0,0.0,0.0,0.013985157,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,7458.843,14059.396,18612.266,22088.871,11782.253,7157.909,3302.6482,3607.0986,6.8824697,1.6378461,0.70612955,0.24895507,0.03146468,0.01717157,4.8614028E-4,2.9885482E-6,93.1742,175.62685,232.50027,275.92926,93.19858,175.67621,232.5685,276.0134,0.9594463,0.9724983,0.9797026,0.9845224,0.99763274,0.9985455,0.99968964,0.9998828,177.04616,306.02567,362.9896,297.51917,1438.5508,153.21742,1.4964561,0.18306449,0.031077418,0.077941306,0.17026174,0.039560746,0.005437083,0.006329072,0.028459152,0.23517561,0.0028618625,0.0046444004,0.006788619,0.010029515,0.51433957,0.49829927,0.5070699,0.56336015,2.2377632,1.3000712,1.2681364,1.123952,5362.131,2916.3481,709.72736,152.60211,3881.9949,1638.9589,401.79544,78.99522,1142.2107,1106.875,1145.7827,1138.1176,1241.1141,1109.9526,975.9186,762.273,7.3519306,1.4029794,0.0040745707,4.867671E-5,141.62737,153.39624,2.1953564,3.773558E7,21.012674,3.2126362E7,-0.40236518,2.5535409E9,3.4099488E-4,1.6635415E9,2354020,619161,141476869,12.818321,12.130083,11.825501,11.639566,12.321929,12.863034,13.702845,13.607105,7774.112,14456.988,18997.873,22436.129,11810.211,7168.3354,3303.6736,3607.5215,12.773373,12.099806,11.803238,11.62263,12.319356,12.861454,13.702507,13.606977,19567.873,17992.984,15640.169,11021.33,2089.9697,937.9748,72.81873,6.235742,0.68823814,0.30458164,0.49051666,0.18593502,-0.68236256,-0.5411053,-0.8398104,0.095739365,10000,1,528,0,0,0,0,0,0,0,20,14,9,7,269,271,46,46,20,14,8,5,0,0,2,2,0,0,0,0,0,0,0539m352,SER,L3,0529m349
FCC_223,54.83333333333333,-35.72472222222222,781.0,10995260555532022,1238466,54.83202979199461,-35.72464563829559,56669.1822497726,58440.24412433073,237.1700216472878,-53.45736618080413,38.84973789737961,-53.1007375483924,46.87281,137594,5878,4096,6.100364E11,4.707418E11,1769.6241,2147.8801,0.0,0.0,0.0,0.0,0.0,0.011601009,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,394.1285,709.332,885.6858,980.4409,353.77097,195.42297,-190.73909,-844.5541,22.531351,4.6476493,1.4935193,0.3594178,0.18417612,0.04832777,3.089079E-4,2.3045516E-6,1.1884445,2.1389005,2.6706731,2.9563951,1.1894598,2.1408968,2.6732771,2.9593418,0.9662416,0.9771327,0.98313344,0.98714393,0.9980359,0.9987933,0.9997425,0.9999028,21.979332,1.1679661,1.2618132,1.1134392,2.403435,0.7354225,0.6287718,0.10885492,0.24678332,0.54431075,0.49617746,0.4536619,0.4934624,0.49752757,1.5063298,2.1545415,0.043208435,0.034522627,0.034242887,0.032666754,0.9900233,0.9750374,0.9777587,0.8776393,1.3014344,1.263732,1.1931016,1.1144058,17698.191,3672.6326,1233.5726,326.3807,6663.8496,2019.0846,648.8387,160.9367,2475.2466,2347.242,2383.798,2365.1572,2506.3218,2496.3438,2484.377,2488.6553,6.947319,1.3355236,0.003738204,4.4653883E-5,170.10352,205.85185,1.1246864,1204328.0,18.448257,29344.6,0.061470035,1.2628196E7,0.044257596,9429936.0,2354012,623260,141447161,16.010906,15.372876,15.131801,15.021446,16.128195,16.77256,,,407.8985,725.93207,900.88055,993.2097,354.46716,195.65907,-190.78822,-844.63617,15.973619,15.34776,15.113332,15.007398,16.12606,16.77125,,,1870.8177,1529.2068,1082.3933,587.7887,151.82344,42.96096,-3.3523877,-1.2820964,0.63803005,0.24107552,0.35142994,0.11035442,-1.1067486,-0.6443653,,,10000,1,528,0,0,0,0,0,0,0,21,15,9,9,257,257,41,41,21,15,9,9,0,0,0,0,0,0,0,0,0,0,0548m357,SER,L3,0540m364
FCC_222,54.80416666666667,-35.37138888888889,800.146183,10995263018635062,235388,54.80552907834422,-35.37138967923165,56669.1822497726,58440.24412433073,236.5775207939194,-53.48709229651391,39.03950448429345,-52.76581673423258,31.988535,139943,3894,4096,4.8871794E12,4.230819E12,2361.4875,131.40532,0.0,0.0,0.0,0.0,0.0,0.012528241,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,787.218,1488.6084,1930.4672,2242.0781,1080.4054,556.9109,-53.085037,-485.97073,15.994871,4.527952,1.6467971,0.36784995,0.14925349,0.050727505,3.54593E-4,2.4769458E-6,4.4490933,8.413117,10.910356,12.671477,4.4490933,8.413117,10.910357,12.671477,0.9635931,0.9753277,0.9817977,0.9861235,0.9978791,0.9986969,0.99972194,0.999895,1.2143042,1.5130137,1.6947784,1.2963264,5.7617755,1.5926228,0.5663895,0.09375824,0.01256477,0.010779699,0.011088515,0.014853925,0.04084,0.06058118,3.7002194,3.2479022,0.019220395,0.01625009,0.015456305,0.018801617,0.5382816,0.556006,0.63241845,0.54037386,1.8017584,1.2601789,1.2073994,1.0866379,6433.6777,3492.0667,1070.9386,283.7478,4147.4033,1918.208,567.82635,138.27696,1343.4996,1389.6733,1429.6138,1451.8518,1950.9297,1945.9623,1752.7504,1896.4482,6.699538,1.2872193,0.0033068606,3.9547453E-5,225.52638,12.666791,1.4870999,3434445.5,16.457275,119530.73,0.03670851,3.1215324E7,0.06030409,4.5159088E7,2354032,621212,141455599,15.259763,14.568048,14.285844,14.123373,14.916033,15.635536,,,816.961,1526.2649,1966.2576,2273.6282,1082.7017,557.6375,-53.0998,-486.0218,15.219497,14.540925,14.265899,14.108201,14.913728,15.63412,,,3148.3674,3167.6077,2477.322,1359.8346,417.39667,125.43175,-0.9996252,-0.7648361,0.6917143,0.28220463,0.44467545,0.16247082,-0.79265976,-0.7195034,,,10000,1,528,0,0,0,0,0,0,0,17,14,8,8,251,251,39,40,17,14,8,8,0,0,0,0,0,0,0,0,0,0,0548m352,SER,L3,0548m349
FCC_302,56.3,-35.57083333333333,803.4439,10995261789710929,849814,56.30144478351505,-35.57055336624629,56976.34796407259,58534.14794208073,236.8799318634595,-52.26620893548957,40.79607751130597,-53.40685362950797,39.859016,138771,10833,4096,1.6421585E11,1.2991824E12,369.1825,829.13477,0.0,0.0,0.0,0.0,0.0,0.009044542,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,502.3348,585.14044,670.3963,613.8615,156.14482,95.86811,-391.91187,15308.132,20.695627,4.33236,1.4677494,0.36529267,0.2698589,0.06488953,3.7941788E-4,2.4821622E-6,1.0368245,1.2077363,1.3837053,1.2670168,1.0569458,1.2278848,1.4042609,1.2829354,0.97358155,0.9821265,0.98682564,0.9899627,0.9984684,0.99905914,0.99979925,0.9999242,1.2922628,1.2403091,1.4071819,1.0490032,0.9071151,0.5496514,0.592045,0.068663776,0.25564805,0.22936225,0.20839822,0.2094593,19.509346,869.06696,20.633736,8.060992,0.01354878,0.014869679,0.01438586,0.01174459,0.9417532,0.9150888,0.90208846,0.8887672,2.0747955,1.1959285,1.1082019,1.1185726,5475.988,3045.1245,1103.1332,266.0565,3729.249,1625.1371,552.25793,132.90695,2040.7366,1951.938,1922.8417,1969.8846,2065.1633,2001.5327,1991.2177,2028.1669,7.6680264,1.4671133,0.003962574,4.5488694E-5,35.5027,56.267666,0.6336518,1955415.1,30.202433,41631.043,-0.5397612,4.0087824E7,-0.28416416,2.4145534E7,2354089,621216,141492253,15.747517,15.58185,15.434171,15.529824,17.016182,17.545815,,12.037695,515.9658,595.7893,679.34625,620.0855,156.38434,95.9584,-391.99057,15309.293,15.718448,15.562268,15.419772,15.518871,17.014517,17.544792,,12.037612,2285.244,1217.9302,812.1899,371.0145,81.11403,24.420889,-7.633915,24.117777,0.16566658,0.14767933,0.052025795,-0.095653534,-1.4863577,-0.52963257,,,10000,1,528,0,0,0,0,0,0,0,12,8,7,7,294,292,46,44,12,8,7,7,0,0,0,0,0,0,0,0,0,0,0561m355,SER,L3,0566m349
NGC_1396/FCC_202,54.52916666666666,-35.44,807.940787,10995261784459353,258497,54.52736434559528,-35.43990463180145,56973.35327197259,58440.24412433073,236.7011202867104,-53.71229948939744,38.64998487460085,-52.74301171006041,95.7183,138766,2137,4096,1.9285867E13,4.770844E13,3092.4067,2624.4827,0.0,0.0,0.0,0.0,0.0,0.01395008,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,909.6867,1736.305,2285.27,2696.4001,1319.9481,736.26794,248.17725,-259.52908,40.86921,8.208235,3.7034285,1.0083965,0.20068546,0.08790126,8.258744E-4,4.706358E-6,12.818878,24.467196,32.202953,37.996407,12.908953,24.658792,32.478764,38.34645,0.95954597,0.9725663,0.97975296,0.9845609,0.99763864,0.99854916,0.9996904,0.9998831,2.3760896,3.320277,4.4825797,2.8537521,48.876953,4.6287684,0.6366688,0.10986814,0.050436433,0.07589446,0.06863859,0.09008284,0.038277186,0.03371542,0.3430023,2.9590166,0.0036203915,0.0029882896,0.004024655,0.0070727207,0.80236316,0.615215,0.6880679,0.6179151,2.0151854,1.2785146,1.2179804,1.1721101,6748.8447,3048.5022,1136.18,215.28018,4595.9272,1691.1553,606.8415,111.89465,634.1913,591.2781,587.91583,598.2461,641.96906,604.42816,602.8626,516.3889,6.8590503,1.3319654,0.0035725657,4.2667627E-5,295.2054,227.49721,1.4238589,7739662.0,11.214612,757093.2,-0.25163502,1.7243568E8,-0.0024407078,8.2774256E7,2354035,621211,141453266,15.102771,14.400935,14.102656,13.923039,14.698607,15.33241,16.513096,,948.0387,1785.282,2332.496,2738.6829,1323.0724,737.3377,248.2541,-259.55942,15.057935,14.370733,14.080448,13.906146,14.696041,15.330833,16.512758,,5815.539,4974.517,4397.841,2707.6965,591.30945,218.2898,7.1321254,-0.5630261,0.70183563,0.2982788,0.47789574,0.17961693,-0.775568,-0.6338024,-1.180686,,10000,1,528,0,0,0,0,0,0,0,21,14,9,8,262,261,43,44,21,14,9,7,0,0,0,1,0,0,0,0,0,0,0546m355,SER,L3,0548m349
