No.,Object Name,RA-s,Dec-s,RA,Dec,Redshift (z),cz,z flag,Phys Type,EM Region,Separation,Reference,Note,Photometry,Position,Redshift,Diameter,Distances,Classification,Images,Spectra
1,NGC 3311 GROUP,10h36m42.7100s,-27d31m42.900s,159.177958333333,-27.5285833333333,0.012389,3714.128762162,UUN,GClstr,"IR,Xray",0.0,555,4,4,26,33,0,3,0,5,0
2,NGC 3311,10h36m42.8028s,-27d31m41.232s,159.1783453,-27.5281201,0.0127588,3824.9920131304,UUN,G,"IR,Radio,UV,Xray",0.0345894041132432,247,7,95,32,27,18,48,30,7,1
3,NGC 3311:[MMH2011] HUCD 18,10h36m43.5000s,-27d31m49.400s,159.18125,-27.53038888889,0.010557,3164.908979106,UUN,,Vis,0.205935236886809,4,0,3,3,3,0,0,0,0,0
4,eRASS1 J103639.8-273055,10h36m41.0640s,-27d31m26.760s,159.1711,-27.5241,0.0114,3417.6340212,UUN,GClstr,,0.453349560753172,1,0,0,1,1,0,0,0,0,0
5,HCC 045,10h36m44.4000s,-27d31m22.800s,159.185,-27.523,0.014183,4251.956431814,UUN,G,,0.502599014252516,4,0,2,2,2,0,0,0,0,0
6,NGC 3311:[MMH2011] HUCD 16,10h36m41.1000s,-27d31m18.000s,159.17125,-27.52166666667,0.012185,3652.97110073,UUN,,Vis,0.547385966986264,3,0,3,3,3,0,0,0,0,0
7,ABELL 1060:[WH2007] UCD 22,10h36m45.0550s,-27d31m53.860s,159.18772916667,-27.53162777778,0.014483,4341.894169214,UUN,,Vis,0.551025981495641,4,0,4,3,3,0,0,0,0,0
8,ABELL 1060:[WH2007] UCD 14,10h36m43.5780s,-27d32m17.430s,159.181575,-27.538175,0.011011,3301.014755038,UUN,,Vis,0.606816972526394,5,0,4,3,3,0,0,0,0,0
9,GALEXASC J103645.93-273126.4,10h36m46.0000s,-27d31m25.100s,159.19166666667,-27.52363888889,0.016498,4945.975972084,UUN,G,UV,0.787417064731665,12,0,8,5,4,0,1,1,0,0
10,WISEA J103639.34-273127.7,10h36m39.3405s,-27d31m27.701s,159.1639189,-27.5243615,0.015017,4501.983341786,UUN,,"IR,Vis",0.788788228856475,2,0,14,3,2,0,0,0,0,0
11,NGC 3311:[MMH2011] 097,10h36m46.4000s,-27d31m35.800s,159.19333333333,-27.52661111111,0.012922,3873.918142276,UUN,,Vis,0.826576423553322,2,0,2,2,2,0,0,0,0,0
12,ABELL 1060:[WH2007] UCD 28,10h36m39.0240s,-27d31m22.960s,159.1626,-27.52304444444,0.013176,3950.065426608,UUN,,Vis,0.882180712648282,3,0,3,2,2,0,0,0,0,0
13,ABELL 1060:[WH2007] UCD 27,10h36m44.5770s,-27d30m48.510s,159.1857375,-27.513475,0.00972,2913.98269176,UUN,,Vis,0.996535458080778,3,0,3,2,2,0,0,0,0,0
14,NGC 3311:[MMH2011] 092,10h36m40.9000s,-27d30m42.700s,159.17041666667,-27.51186111111,0.016348,4901.007103384,UUN,,Vis,1.08061018288514,2,0,2,2,2,0,0,0,0,0
15,ABELL 1060:[WH2007] UCD 26,10h36m39.3160s,-27d30m53.730s,159.16381666667,-27.514925,0.011324,3394.849794392,UUN,,Vis,1.11256739742611,4,0,4,3,3,0,0,0,0,0
16,NGC 3311:[MMH2011] 069,10h36m41.2000s,-27d32m46.700s,159.17166666667,-27.54630555556,0.012609,3780.083102922,UUN,,Vis,1.11477517594335,2,0,2,2,2,0,0,0,0,0
17,NGC 3311:[MMH2011] 112,10h36m41.2000s,-27d32m49.400s,159.17166666667,-27.54705555556,0.013169,3947.966879402,UUN,,Vis,1.15777714707259,2,0,2,2,2,0,0,0,0,0
18,WISEA J103642.43-273252.8,10h36m42.4340s,-27d32m52.864s,159.1768084,-27.5480178,0.011181,3351.979472898,UUN,,"IR,Vis",1.16767180308826,4,0,15,4,3,0,0,0,0,0
19,NGC 3311:[MMH2011] 059,10h36m38.3000s,-27d32m21.400s,159.15958333333,-27.53927777778,0.011201,3357.975322058,UUN,,Vis,1.1693982272205,2,0,2,2,2,0,0,0,0,0
20,NGC 3311:[MMH2011] 101,10h36m37.7000s,-27d32m05.800s,159.15708333333,-27.53494444444,0.010978,3291.121603924,UUN,,Vis,1.17440865313397,2,0,2,2,2,0,0,0,0,0
21,NGC 3311:[MMH2011] 073,10h36m38.8000s,-27d30m55.000s,159.16166666667,-27.51527777778,0.010454,3134.030355932,UUN,,Vis,1.17848101130242,2,0,2,2,2,0,0,0,0,0
22,HCC 106,10h36m39.7000s,-27d32m41.200s,159.16541666667,-27.54477777778,0.0111810684710421,3352.00000000001,UUN,G,,1.17871233245445,3,0,2,2,1,0,0,0,0,0
23,ABELL 1060:[WH2007] UCD 04,10h36m47.4810s,-27d31m10.590s,159.1978375,-27.51960833333,0.012395,3715.92751691,UUN,,Vis,1.18693650876234,5,0,4,3,3,0,0,0,0,0
24,NGC 3311:[MMH2011] 091,10h36m42.1000s,-27d30m28.100s,159.17541666667,-27.50780555556,0.011828,3545.945193224,UUN,,Vis,1.25398144600306,2,0,2,2,2,0,0,0,0,0
25,HCC 065,10h36m43.7000s,-27d32m57.700s,159.18208333333,-27.54936111111,0.0111810684710421,3352.00000000001,UUN,G,,1.26583542514203,4,0,2,3,1,0,0,0,0,0
26,NGC 3311:[MMH2011] 099,10h36m48.3000s,-27d31m59.100s,159.20125,-27.53308333333,0.017836,5347.098280888,UUN,,Vis,1.26832214078705,2,0,2,2,2,0,0,0,0,0
