No.,Object Name,RA-s,Dec-s,RA,Dec,Redshift (z),cz,z flag,Phys Type,EM Region,Separation,Reference,Note,Photometry,Position,Redshift,Diameter,Distances,Classification,Images,Spectra
1,DESI J159.3631-25.2926,10h37m27.1543s,-25d17m33.580s,159.3631431,-25.2926613,0.0123926,3715.2080150108,SLS,G,,3.39062117412992,0,0,0,1,1,0,0,0,0,0
2,NGC 3313,10h37m25.4410s,-25d19m08.875s,159.3560044,-25.3191321,0.012362,3706.034365796,SUN,G,"IR,Radio,UV",4.11759301384213,78,4,50,22,17,19,0,11,5,3
3,ESO 501- G 044,10h37m04.4787s,-25d20m40.775s,159.2686615,-25.3446598,0.012362,3706.034365796,SLS,G,"IR,Radio,UV",5.18724934613344,16,1,40,11,4,14,0,1,3,1
4,SN 2002jp,10h37m26.5000s,-25d21m35.200s,159.36041666667,-25.35977777778,0.012,3597.509496,SUN,SN,,6.3070584624115,14,0,0,3,1,0,0,0,0,0
5,DESI J159.3871-25.3490,10h37m32.9121s,-25d20m56.425s,159.3871339,-25.349007,0.0120975,3626.739260655,SLS,G,,6.57587389769845,0,0,0,1,1,0,0,0,0,0
6,ESO 501- G 037,10h36m44.6155s,-25d15m44.649s,159.1858981,-25.2624026,0.012362,3706.034365796,SLS,G,"IR,Radio,UV",6.63411493637714,20,1,38,11,5,16,2,1,4,2
7,WISEA J103751.28-251806.2,10h37m51.2805s,-25d18m06.295s,159.463669,-25.3017488,0.0133689996,4007.92525108502,SUN,G,"IR,UV",8.70972938885472,4,1,18,3,1,0,0,2,0,0
8,TOLOLO 1035-248A,10h37m22.6367s,-25d03m36.084s,159.34431973738,-25.06002336825,0.0120000001,3597.50952597925,SUN,G,,12.5082202830615,1,0,0,1,1,0,0,0,1,0
9,ESO 501- G 032,10h36m22.1209s,-25d22m35.378s,159.0921707,-25.3764941,0.0133889997,4013.92113022426,SUN,G,"IR,Radio,UV,Vis",13.4603052196793,28,1,44,12,11,18,0,7,4,2
10,DESI J159.0912-25.3806,10h36m21.8992s,-25d22m50.328s,159.0912469,-25.3806468,0.0133421,3999.8609538818,SLS,G,,13.6279077045733,0,0,0,1,1,0,0,0,0,0
11,WISEA J103805.81-250538.9,10h38m05.8123s,-25d05m38.933s,159.524218,-25.0941482,0.013209,3959.958577722,SLS,G,"IR,UV",15.617383552886,2,0,31,5,3,2,0,0,1,1
12,ESO 501-IG 061,10h38m06.0100s,-25d05m36.300s,159.52504166667,-25.09341666667,0.011998,3596.909911084,SUN,GGroup,Radio,15.6799779569376,6,1,0,5,3,1,0,2,1,0
13,ESO 501- G 062,10h38m10.0695s,-25d06m20.976s,159.5419566,-25.1058269,0.0131660001,3947.06753200725,SUN,G,"IR,UV",15.9207259331737,20,2,41,7,5,16,0,6,4,2
14,2MASX J10382362-2531276,10h38m23.6136s,-25d31m28.012s,159.59839,-25.524448,0.012729,3816.058197882,SLS,G,"IR,UV",22.0956873790436,15,0,21,8,6,2,2,0,1,2
15,WALLABY J103603-245430,10h36m03.1920s,-24d54m30.960s,159.0133,-24.9086,0.0131557679146151,3943.99999999999,S1L,,Radio,26.7620362783821,3,0,0,3,1,0,0,0,0,0
16,WISEA J103841.37-253534.1,10h38m41.3739s,-25d35m34.141s,159.6723914,-25.5928172,0.0100069996,3000.02300728902,SUN,G,"IR,Radio,UV",27.8281935575238,7,0,16,8,3,0,0,1,0,0
17,WISEA J103821.03-254124.8,10h38m21.0335s,-25d41m24.832s,159.5876398,-25.6902312,0.011531,3456.906833198,SLS,G,"IR,Radio,UV",29.6219750805439,10,0,16,9,4,0,0,0,0,1
18,WALLABY J103627-255957,10h36m27.3600s,-25d59m54.600s,159.114,-25.9985,0.0107907984796602,3234.99999999999,S1L,,Radio,45.1926490437113,3,0,0,3,1,0,0,0,0,0
19,ESO 501- G 039,10h36m51.1823s,-26d02m28.189s,159.2132597,-26.0411638,0.007949,2383.050248642,SLS,G,"IR,Radio,UV",46.7977925904022,16,1,27,11,5,12,0,2,2,1
20,ESO 501- G 060,10h37m54.5258s,-26d04m25.781s,159.4771911,-26.0738282,0.015517,4651.879570786,SLS,G,"IR,UV",49.3305787905305,15,1,40,10,4,14,0,1,3,1
21,PGC1 5065970 NED001,10h35m10.3777s,-25d58m38.600s,158.79324072605,-25.97738904578,0.00801599957,2403.13621441724,SUN,G,,50.9725963840595,4,0,0,3,2,0,0,0,0,0
22,WISEA J103447.91-255607.4,10h34m47.9199s,-25d56m07.487s,158.6996665,-25.9354133,0.010611,3181.097771838,SLS,G,"IR,UV",51.9378156366804,11,0,30,10,6,2,0,0,1,1
23,WISEA J103650.74-260918.8,10h36m50.7407s,-26d09m18.896s,159.2114199,-26.1552489,0.0122950003,3685.94836104774,SUN,G,"IR,Radio,UV,Vis",53.6162730771748,14,0,31,10,6,2,0,2,1,1
24,ESO 501- G 042,10h36m56.6634s,-26d11m39.364s,159.2360975,-26.1942678,0.010941,3280.029282978,SUN,G,IR,55.8378541190475,39,2,40,16,12,17,3,9,4,1
25,WALLABY J103602-261141,10h36m02.2320s,-26d11m40.920s,159.0093,-26.1947,0.0109208884767875,3274.0,S1L,,Radio,58.0209913911807,3,0,0,3,1,0,0,0,0,0
26,ESO 501- G 024,10h35m27.2364s,-24d23m02.305s,158.8634853,-24.3839738,0.011872,3559.136061376,SUN,G,"IR,UV",58.1914900137673,27,1,42,14,7,16,0,2,4,1
27,WISEA J103654.52-261426.3,10h36m55.0940s,-26d14m27.512s,159.2295586,-26.2409756,0.0121219996,3634.08405595902,SUN,G,"IR,UV",58.6582897137615,8,1,28,6,2,0,0,0,0,0
28,IC 2594,10h36m04.1654s,-24d19m23.159s,159.017356,-24.3230999,0.0118310004,3546.84469051498,SUN,G,"IR,UV,Vis",58.7428834646652,37,2,39,13,10,17,1,6,4,1
29,v2MCG 37,10h37m15.0000s,-26d14m56.000s,159.3125,-26.24888888889,0.011451,3432.923436558,UUN,GGroup,,58.9798125840091,1,0,0,1,2,0,0,0,0,0
