No.,Object Name,RA-s,Dec-s,RA,Dec,Redshift (z),cz,z flag,Phys Type,EM Region,Separation,Reference,Note,Photometry,Position,Redshift,Diameter,Distances,Classification,Images,Spectra
1,WISEA J103149.44-285759.4,10h31m49.4475s,-28d57m59.403s,157.9560315,-28.966501,0.012319,3693.143290102,SLS,G,"IR,UV",16.4273432155845,12,0,31,9,5,2,0,0,1,1
2,IC 2586,10h31m02.4025s,-28d43m00.030s,157.7600107,-28.7166751,0.0121600004,3645.47640919698,SUN,G,"IR,UV",25.4714096480989,42,2,43,15,11,18,1,5,4,1
3,WISEA J103114.11-283955.4,10h31m14.1146s,-28d39m55.445s,157.808811,-28.6654014,0.012622,3783.980404876,SLS,G,"IR,Radio,UV",28.8699421370962,26,0,36,14,9,2,0,1,2,1
4,WISEA J103223.99-284742.6,10h32m23.9916s,-28d47m42.671s,158.0999651,-28.7951865,0.012732,3816.957575256,SLS,G,"IR,UV",28.9597934126203,11,0,25,8,2,0,0,0,0,2
5,WALLABY J103002-284116,10h30m02.1840s,-28d41m16.800s,157.5091,-28.688,0.0128055256146571,3839.00000000001,S1L,,Radio,29.1131470184979,4,0,0,3,1,0,0,0,0,0
6,WISEA J103133.01-283857.6,10h31m33.0194s,-28d38m57.652s,157.8875812,-28.6493479,0.011568,3467.999154144,SLS,G,"IR,UV,Vis",30.7886735464473,12,0,22,7,3,0,0,1,1,1
7,WISEA J103154.58-283737.5,10h31m54.5823s,-28d37m37.566s,157.9774264,-28.6271019,0.0120019997,3598.10899097826,SUN,G,"IR,UV,Vis",33.7204015452353,22,0,31,12,7,2,0,1,1,1
8,WISEA J103049.43-283431.8,10h30m49.4304s,-28d34m31.832s,157.7059602,-28.575509,0.012619,3783.081027502,SLS,G,"IR,UV,Vis",33.8234830880635,9,0,31,9,5,2,0,0,1,1
9,ESO 436- G 034,10h32m44.5421s,-28d36m36.543s,158.1855924,-28.6101509,0.012088,3623.891232304,SUN,G,"IR,Radio,Xray",40.3007517579887,88,3,65,29,31,18,15,16,4,2
10,LDCE 0729,10h27m34.5000s,-29d19m43.000s,156.89375,-29.32861111111,0.010904,3268.936962032,SST,GGroup,,44.374144675678,1,0,0,1,1,0,0,0,0,0
11,ESO 436- G 031,10h31m25.2875s,-29d57m11.741s,157.8553648,-29.9532616,0.013705,4108.65563689,S1L,G,"IR,Radio,UV",49.4057266418957,22,2,44,11,4,16,0,9,4,1
12,WISEA J103103.05-281826.1,10h31m03.0584s,-28d18m26.101s,157.7627435,-28.3072505,0.0132320002,3966.85386421449,SUN,G,"IR,UV,Vis",49.9855401892103,12,0,31,10,6,2,0,0,1,1
13,LEDA 722930,10h31m14.1600s,-29d58m37.560s,157.809,-29.9771,0.0139763355888026,4190.00000000001,S1L,,Radio,50.5230440370969,5,0,0,4,1,0,0,0,0,0
14,WISEA J103240.43-282051.8,10h32m40.4319s,-28d20m51.827s,158.1684664,-28.3477299,0.012989,3894.004236962,SLS,G,"IR,UV",53.1904646701164,16,0,16,10,6,0,1,0,0,1
15,WISEA J103454.14-285431.3,10h34m54.1435s,-28d54m31.362s,158.7255979,-28.9087117,0.013976,4189.899393008,SLS,G,"IR,UV",54.8962019833758,5,0,30,6,3,2,0,0,1,1
16,WISEA J103416.60-283404.8,10h34m16.6025s,-28d34m04.892s,158.5691771,-28.5680258,0.0119749997,3590.01459461226,SUN,G,"IR,UV,Vis",56.5580696350048,23,1,33,10,8,2,0,3,2,2
17,ESO 436- G 023,10h27m38.6371s,-29d47m50.070s,156.91098812701,-29.79724187553,0.0128288751013209,3845.99999999999,S1L,G,,57.5676814322262,8,1,6,5,1,12,0,2,3,0
18,WALLABY J102629-285851,10h26m29.9760s,-28d58m51.600s,156.6249,-28.981,0.0123852348547074,3713.0,S1L,,Radio,57.8509741183884,3,0,0,3,1,0,0,0,0,0
19,ESO 436- G 021,10h26m21.8104s,-29d11m59.828s,156.59087684609,-29.19995246267,0.0123385358813796,3698.99999999999,S1L,G,Radio,58.9016676215851,11,0,5,6,1,11,0,1,2,0
20,AM 1032-291,10h35m02.8431s,-29d30m23.658s,158.7618466,-29.5065718,0.0123079997,3689.84548312626,SUN,G,"IR,Radio,UV",59.1294211357623,17,0,21,12,5,0,0,0,1,1
21,WISEA J103435.66-283405.4,10h34m35.6654s,-28d34m05.479s,158.6486061,-28.5681888,0.0116250003,3485.08741418774,SUN,G,IR,59.9263462245279,31,0,27,15,10,2,2,1,2,1
22,ESO 436-IG 042,10h34m38.7568s,-28d34m59.993s,158.661487,-28.5833315,0.0106410002,3190.09160553649,SUN,G,"IR,Radio",59.9699651768748,63,2,45,19,15,15,0,8,4,1
