No.,Object Name,RA-s,Dec-s,RA,Dec,Redshift (z),cz,z flag,Phys Type,EM Region,Separation,Reference,Note,Photometry,Position,Redshift,Diameter,Distances,Classification,Images,Spectra
1,ESO 501- G 090,10h44m43.3634s,-23d26m21.501s,161.180681,-23.439306,0.012982,3891.905689756,SLS,G,"IR,UV",15.5907248717651,16,0,33,8,2,14,0,1,4,1
2,TOLOLO 1044-230,10h46m24.5951s,-23d15m49.459s,161.60247970741,-23.26373885675,0.00899999961,2698.13200508094,SUN,G,,38.9771690366019,1,0,0,1,1,0,0,0,1,0
3,ESO 501- G 096,10h46m47.6082s,-23d19m39.025s,161.6983676,-23.327507,0.010591,3175.101922678,S1L,G,"IR,Radio,UV",41.1810449528066,17,0,45,10,7,14,0,2,4,1
4,ESO 501- G 091,10h45m34.7474s,-24d17m00.603s,161.394781,-24.283501,0.012375,3709.93166775,SLS,G,"IR,UV",41.4054188650181,7,0,16,4,2,12,0,1,2,1
5,6dF J1043475-242149,10h43m47.5200s,-24d21m48.800s,160.948,-24.36355555556,0.011932,3577.123608856,SLS,PofG,,42.0020565461168,3,0,0,3,2,0,0,0,0,1
6,ESO 501- G 086,10h43m47.2058s,-24d22m04.611s,160.9466912,-24.3679475,0.012449,3732.116309642,S1L,G,IR,42.2727589344689,66,1,53,19,16,18,19,28,4,4
7,ESO 501-IG 092,10h45m37.3621s,-23d00m29.312s,161.4056756,-23.0081423,0.008613,2582.112440754,SUN,G,"IR,Radio,UV",44.2760501649922,15,1,38,10,8,10,0,3,4,2
8,WISEA J104117.73-240040.1,10h41m17.7386s,-24d00m40.119s,160.3239109,-24.0111444,0.012299,3687.147440942,SLS,G,"IR,Radio,UV",44.7863400286068,16,0,36,10,8,2,0,0,2,1
9,ESO 501- G 088,10h44m18.8307s,-22d49m34.527s,161.0784615,-22.8262577,0.012615,3781.88185767,S1L,G,"IR,Radio",50.6315432403245,38,2,44,13,11,18,4,11,4,2
10,ESO 501- G 085,10h43m48.1944s,-22d49m00.353s,160.95081,-22.8167649,0.012659,3795.072725822,SUN,G,"IR,UV",51.4650888243375,22,1,42,10,7,15,0,3,4,2
11,NGC 3331,10h40m08.9616s,-23d49m13.620s,160.03734,-23.82045,0.0121150479375969,3632.00000000001,SUN,G,"IR,Radio,UV,Vis",56.324945539889,37,2,48,19,14,16,0,6,4,2
12,AM 1041-222,10h43m48.6774s,-22d43m33.056s,160.9528225,-22.725849,0.012225,3664.96279905,SLS,G,"IR,UV",56.8819963753643,15,0,31,8,4,2,0,0,2,1
13,WISEA J104349.92-224257.3,10h43m49.9298s,-22d42m57.365s,160.9580409,-22.7159348,0.012619,3783.081027502,SLS,G,"IR,UV",57.4482583206752,4,0,33,5,1,2,0,0,1,1
14,[TKK2018] 3426,10h40m05.7600s,-23d52m33.600s,160.024,-23.876,0.0125711234536794,3768.728,SFO,GGroup,,57.6588524465241,2,0,0,2,1,0,0,0,0,0
15,HIPASS J1047-22,10h47m10.8000s,-22d58m55.000s,161.795,-22.98194444444,0.016725,5014.02886005,S1L,G,Radio,58.2187592328522,2,0,1,1,1,0,0,1,0,0
16,WISEA J103950.29-234037.6,10h39m50.2939s,-23d40m37.614s,159.9595583,-23.677115,0.012969,3888.008387802,SLS,G,IR,59.9003258130904,3,0,12,2,1,0,0,0,0,1
