ra,dec,name,color,radius
159.2305,-27.5186,Field1,blue,3960.000000000001
159.2126,-25.3493,Field2,blue,3960.000000000001
157.6973,-29.1417,Field3,blue,3960.000000000001
159.177958333333,-27.5285833333333,,red,5.0
159.1783453,-27.5281201,,red,5.0
159.18125,-27.53038888889,,red,5.0
159.1711,-27.5241,,red,5.0
159.185,-27.523,,red,5.0
159.17125,-27.52166666667,,red,5.0
159.18772916667,-27.53162777778,,red,5.0
159.181575,-27.538175,,red,5.0
159.19166666667,-27.52363888889,,red,5.0
159.1639189,-27.5243615,,red,5.0
159.19333333333,-27.52661111111,,red,5.0
159.1626,-27.52304444444,,red,5.0
159.1857375,-27.513475,,red,5.0
159.17041666667,-27.51186111111,,red,5.0
159.16381666667,-27.514925,,red,5.0
159.17166666667,-27.54630555556,,red,5.0
159.17166666667,-27.54705555556,,red,5.0
159.1768084,-27.5480178,,red,5.0
159.15958333333,-27.53927777778,,red,5.0
159.15708333333,-27.53494444444,,red,5.0
159.16166666667,-27.51527777778,,red,5.0
159.16541666667,-27.54477777778,,red,5.0
159.1978375,-27.51960833333,,red,5.0
159.17541666667,-27.50780555556,,red,5.0
159.18208333333,-27.54936111111,,red,5.0
159.20125,-27.53308333333,,red,5.0
159.18698775295,-27.5493977459488,,red,5.0
159.16820334999,-27.54935452104,,red,5.0
159.19041666667,-27.50891666667,,red,5.0
159.20055416667,-27.54056111111,,red,5.0
159.1825,-27.55361111111,,red,5.0
159.15084583333,-27.538775,,red,5.0
159.1625,-27.50613888889,,red,5.0
159.2084,-27.53259722222,,red,5.0
159.19791666667,-27.54969444444,,red,5.0
159.1486525,-27.5182745,,red,5.0
159.18875,-27.5555,,red,5.0
159.15833333333,-27.50461111111,,red,5.0
159.211025,-27.53402777778,,red,5.0
159.20833333333,-27.54305555556,,red,5.0
159.2091064,-27.5130843,,red,5.0
159.18958333333,-27.49783333333,,red,5.0
159.171666,-27.5610302,,red,5.0
159.1878256,-27.5605366,,red,5.0
159.1629882,-27.4969024,,red,5.0
159.20791666667,-27.55055555556,,red,5.0
159.21708333333,-27.52963888889,,red,5.0
159.18875,-27.56219444444,,red,5.0
159.15708333333,-27.49866666667,,red,5.0
159.14583333333,-27.54997222222,,red,5.0
159.191105,-27.5628468,,red,5.0
159.20377884649,-27.500411135,,red,5.0
159.13833333333,-27.51522222222,,red,5.0
159.13458333333,-27.52630555556,,red,5.0
159.21125,-27.55366666667,,red,5.0
159.19333333333,-27.49225,,red,5.0
159.14916666667,-27.49905555556,,red,5.0
159.14333333333,-27.50425,,red,5.0
159.13541666667,-27.53980555556,,red,5.0
159.1875551,-27.4900437,,red,5.0
159.17916666667,-27.56925,,red,5.0
159.22416666667,-27.52675,,red,5.0
159.1709441,-27.5712791,,red,5.0
159.1454125,-27.49580555556,,red,5.0
159.13291666667,-27.51030555556,,red,5.0
159.21208333333,-27.56066666667,,red,5.0
159.18717916667,-27.57228055556,,red,5.0
159.13208333333,-27.50888888889,,red,5.0
