ra,dec,name,color,radius
175.0771,9.01,gal,red,5.0
175.2362,14.0745,gal,red,5.0
175.2449,11.4711,gal,red,5.0
175.4609,15.9737,gal,red,5.0
175.5747,14.9949,gal,red,5.0
175.6224,18.3327,gal,red,5.0
175.8163,-1.3951,gal,red,5.0
175.8624,11.3985,gal,red,5.0
175.9422,13.7076,gal,red,5.0
176.0439,-3.6689,gal,red,5.0
176.1337,6.7041,gal,red,5.0
176.1516,19.4781,gal,red,5.0
176.1697,16.8995,gal,red,5.0
176.181,11.2072,gal,red,5.0
176.3175,13.8727,gal,red,5.0
176.361,9.1611,gal,red,5.0
176.474,9.8999,gal,red,5.0
176.5169,11.5814,gal,red,5.0
176.7524,-0.2939,gal,red,5.0
176.7792,3.1064,gal,red,5.0
176.823,16.3346,gal,red,5.0
177.0441,-1.9892,gal,red,5.0
177.0683,18.6424,gal,red,5.0
177.179,17.1811,gal,red,5.0
177.2102,-2.0327,gal,red,5.0
177.2393,23.8378,gal,red,5.0
177.273,17.2557,gal,red,5.0
177.3033,-3.6598,gal,red,5.0
177.3794,15.2611,gal,red,5.0
177.488,16.2955,gal,red,5.0
177.5114,15.0233,gal,red,5.0
177.6414,-0.5379,gal,red,5.0
177.7335,14.5952,gal,red,5.0
177.7654,7.6935,gal,red,5.0
177.7699,5.2461,gal,red,5.0
177.8881,-2.3731,gal,red,5.0
178.0077,13.8794,gal,red,5.0
178.1302,-3.6745,gal,red,5.0
178.1555,-2.469,gal,red,5.0
178.198,-0.6688,gal,red,5.0
178.2511,16.0415,gal,red,5.0
178.2755,6.1539,gal,red,5.0
178.3087,-3.4091,gal,red,5.0
178.3144,11.634,gal,red,5.0
178.3694,-3.2302,gal,red,5.0
178.4334,7.7924,gal,red,5.0
178.4514,-3.2187,gal,red,5.0
178.5077,16.7217,gal,red,5.0
178.5139,18.2366,gal,red,5.0
178.5317,-3.6824,gal,red,5.0
178.5512,0.1368,gal,red,5.0
178.5655,3.4037,gal,red,5.0
178.6044,-2.3193,gal,red,5.0
178.6869,20.0564,gal,red,5.0
178.706,6.7094,gal,red,5.0
178.7653,-3.5034,gal,red,5.0
178.7703,1.7196,gal,red,5.0
178.9037,1.237,gal,red,5.0
178.9883,6.7487,gal,red,5.0
179.0102,6.678,gal,red,5.0
179.1368,11.0078,gal,red,5.0
179.2802,6.6754,gal,red,5.0
179.2996,-2.6868,gal,red,5.0
179.3547,2.1878,gal,red,5.0
179.3969,2.1678,gal,red,5.0
179.4509,12.0398,gal,red,5.0
179.6683,15.5929,gal,red,5.0
179.7531,4.6697,gal,red,5.0
179.7933,-2.5909,gal,red,5.0
179.8914,13.8878,gal,red,5.0
179.9558,21.4489,gal,red,5.0
180.0981,-1.1003,gal,red,5.0
180.1375,20.0745,gal,red,5.0
180.1978,-3.4201,gal,red,5.0
180.2336,10.4984,gal,red,5.0
180.2933,14.1047,gal,red,5.0
180.2959,-1.2964,gal,red,5.0
180.3398,14.4503,gal,red,5.0
180.3427,2.1862,gal,red,5.0
180.3483,13.4015,gal,red,5.0
180.3647,14.0345,gal,red,5.0
180.4353,5.8216,gal,red,5.0
180.4379,8.6831,gal,red,5.0
180.6761,1.9771,gal,red,5.0
180.7278,18.7525,gal,red,5.0
180.7616,6.5014,gal,red,5.0
180.8126,10.108,gal,red,5.0
180.9001,16.0553,gal,red,5.0
180.9175,2.6416,gal,red,5.0
180.9604,16.5546,gal,red,5.0
180.9605,14.5504,gal,red,5.0
181.0191,4.8124,gal,red,5.0
181.0469,18.4442,gal,red,5.0
181.0523,0.8025,gal,red,5.0
181.0863,-1.5308,gal,red,5.0
181.1965,10.6269,gal,red,5.0
181.2484,14.4059,gal,red,5.0
181.333,-0.48,gal,red,5.0
181.3611,-0.2823,gal,red,5.0
181.3625,12.5451,gal,red,5.0
181.6694,12.0343,gal,red,5.0
181.8776,18.684,gal,red,5.0
181.8938,2.64,gal,red,5.0
181.9046,2.6912,gal,red,5.0
181.9218,18.4805,gal,red,5.0
182.0399,10.3788,gal,red,5.0
182.0464,2.8786,gal,red,5.0
182.05,19.1103,gal,red,5.0
182.0835,2.5055,gal,red,5.0
182.0847,13.6841,gal,red,5.0
182.1007,3.0132,gal,red,5.0
182.1314,15.095,gal,red,5.0
182.332,18.9969,gal,red,5.0
182.3427,13.9925,gal,red,5.0
182.3539,13.5749,gal,red,5.0
182.4466,13.015,gal,red,5.0
182.4608,12.9029,gal,red,5.0
182.4774,13.0499,gal,red,5.0
182.5079,14.3663,gal,red,5.0
182.5139,11.7135,gal,red,5.0
182.5964,10.1886,gal,red,5.0
182.6015,13.1706,gal,red,5.0
182.6335,14.4898,gal,red,5.0
182.6487,11.7609,gal,red,5.0
182.6543,18.8287,gal,red,5.0
182.6564,16.0331,gal,red,5.0
182.6586,13.0222,gal,red,5.0
182.6878,7.8677,gal,red,5.0
182.6933,23.9153,gal,red,5.0
182.7041,15.2525,gal,red,5.0
182.7273,15.9461,gal,red,5.0
182.7379,9.2195,gal,red,5.0
182.7424,24.244,gal,red,5.0
182.7614,12.104,gal,red,5.0
182.7648,2.005,gal,red,5.0
182.7823,14.2748,gal,red,5.0
182.7861,17.6315,gal,red,5.0
182.7917,13.5879,gal,red,5.0
182.7923,20.1756,gal,red,5.0
182.8004,22.7049,gal,red,5.0
182.8263,18.6348,gal,red,5.0
182.8331,1.4922,gal,red,5.0
182.8434,18.0166,gal,red,5.0
182.8646,2.9253,gal,red,5.0
182.8945,24.0289,gal,red,5.0
182.909,16.4784,gal,red,5.0
182.918,12.9735,gal,red,5.0
182.9248,13.1965,gal,red,5.0
182.9405,13.0243,gal,red,5.0
182.9414,13.2855,gal,red,5.0
182.9452,12.4938,gal,red,5.0
182.9577,17.6768,gal,red,5.0
182.969,24.1233,gal,red,5.0
182.9744,13.8083,gal,red,5.0
182.9905,20.0279,gal,red,5.0
182.9979,5.9172,gal,red,5.0
183.0047,10.3982,gal,red,5.0
183.0455,2.8822,gal,red,5.0
183.0457,12.8935,gal,red,5.0
183.0493,13.2467,gal,red,5.0
183.0613,0.0724,gal,red,5.0
183.063,12.4881,gal,red,5.0
183.0717,13.2053,gal,red,5.0
183.0791,15.4831,gal,red,5.0
183.093,22.5914,gal,red,5.0
183.0943,6.9798,gal,red,5.0
183.1348,12.124,gal,red,5.0
183.1506,6.502,gal,red,5.0
183.1697,6.8411,gal,red,5.0
183.1778,12.7629,gal,red,5.0
183.1924,10.8655,gal,red,5.0
183.2018,13.976,gal,red,5.0
183.2047,13.3472,gal,red,5.0
183.2401,19.3618,gal,red,5.0
183.2495,7.2988,gal,red,5.0
183.2627,7.0389,gal,red,5.0
183.269,15.8929,gal,red,5.0
183.2898,13.5847,gal,red,5.0
183.2945,7.2194,gal,red,5.0
183.307,13.5228,gal,red,5.0
183.3236,13.1577,gal,red,5.0
183.3599,14.772,gal,red,5.0
183.3829,10.3107,gal,red,5.0
183.4197,15.4541,gal,red,5.0
183.4226,9.0111,gal,red,5.0
183.4478,13.4263,gal,red,5.0
183.451,12.6906,gal,red,5.0
183.4524,14.8992,gal,red,5.0
183.454,24.2652,gal,red,5.0
183.4599,7.2009,gal,red,5.0
183.4716,7.4544,gal,red,5.0
183.4734,13.1727,gal,red,5.0
183.5057,17.9001,gal,red,5.0
183.5089,6.723,gal,red,5.0
183.5277,1.6615,gal,red,5.0
183.5402,7.775,gal,red,5.0
183.5502,12.7831,gal,red,5.0
183.5566,8.9081,gal,red,5.0
183.5601,13.5428,gal,red,5.0
183.5829,13.4517,gal,red,5.0
183.5925,14.9786,gal,red,5.0
183.5981,6.7645,gal,red,5.0
183.6171,5.9085,gal,red,5.0
183.6375,12.1032,gal,red,5.0
183.6447,11.8593,gal,red,5.0
183.6487,9.1997,gal,red,5.0
183.6571,12.8134,gal,red,5.0
183.661,5.8066,gal,red,5.0
183.6794,10.5331,gal,red,5.0
183.6843,12.1807,gal,red,5.0
