ra,dec,name,color,radius
187.7014,12.3963,Field1,blue,3960.0000000000005
186.0754,13.4965,Field2,blue,3960.0000000000005
187.9486,14.307,Field3,blue,3960.0000000000005
189.4263,13.3041,Field4,blue,3960.0000000000005
189.1219,11.295,Field5,blue,3960.0000000000005
187.4805,10.4477,Field6,blue,3960.0000000000005
185.9601,11.6469,Field7,blue,3960.0000000000005
187.6007,8.4389,Field8,blue,3960.0000000000005
186.0131,7.1655,Field9,blue,3960.0000000000005
184.8111,5.7578,Field10,blue,3960.0000000000005
184.3502,12.8014,Field11,blue,3960.0000000000005
183.9883,7.6415,Field12,blue,3960.0000000000005
184.4658,14.6628,Field13,blue,3960.0000000000005
186.3005,15.364,Field14,blue,3960.0000000000005
191.0718,12.0456,Field15,blue,3960.0000000000005
190.5631,10.0351,Field16,blue,3960.0000000000005
189.1516,8.9448,Field17,blue,3960.0000000000005
188.7788,6.8992,Field18,blue,3960.0000000000005
186.6354,5.3375,Field19,blue,3960.0000000000005
185.6507,8.9489,Field20,blue,3960.0000000000005
182.4151,13.7313,Field21,blue,3960.0000000000005
193.2665,8.2527,Field22,blue,3960.0000000000005
189.5427,4.8363,Field23,blue,3960.0000000000005
190.6638,2.8801,Field24,blue,3960.0000000000005
193.4287,1.8786,Field25,blue,3960.0000000000005
188.2634,2.356,Field26,blue,3960.0000000000005
185.2524,3.7762,Field27,blue,3960.0000000000005
188.0598,0.1955,Field28,blue,3960.0000000000005
193.0875,-1.1488,Field29,blue,3960.0000000000005
191.0943,-0.0399,Field30,blue,3960.0000000000005
