ra,dec,name,color,radius
187.7014,12.3963,Field1,blue,3960.000000000001
186.0754,13.4965,Field2,blue,3960.000000000001
187.9486,14.307,Field3,blue,3960.000000000001
189.4263,13.3041,Field4,blue,3960.000000000001
189.1219,11.295,Field5,blue,3960.000000000001
187.4805,10.4477,Field6,blue,3960.000000000001
185.9601,11.6469,Field7,blue,3960.000000000001
187.6007,8.4389,Field8,blue,3960.000000000001
186.0131,7.1655,Field9,blue,3960.000000000001
184.8111,5.7578,Field10,blue,3960.000000000001
184.3502,12.8014,Field11,blue,3960.000000000001
183.9883,7.6415,Field12,blue,3960.000000000001
184.4658,14.6628,Field13,blue,3960.000000000001
186.3005,15.364,Field14,blue,3960.000000000001
191.0718,12.0456,Field15,blue,3960.000000000001
190.5631,10.0351,Field16,blue,3960.000000000001
189.1516,8.9448,Field17,blue,3960.000000000001
188.7788,6.8992,Field18,blue,3960.000000000001
186.6354,5.3375,Field19,blue,3960.000000000001
185.6507,8.9489,Field20,blue,3960.000000000001
182.4151,13.7313,Field21,blue,3960.000000000001
193.2665,8.2527,Field22,blue,3960.000000000001
189.5427,4.8363,Field23,blue,3960.000000000001
190.6638,2.8801,Field24,blue,3960.000000000001
193.4287,1.8786,Field25,blue,3960.000000000001
188.2634,2.356,Field26,blue,3960.000000000001
185.2524,3.7762,Field27,blue,3960.000000000001
188.0598,0.1955,Field28,blue,3960.000000000001
193.0875,-1.1488,Field29,blue,3960.000000000001
191.0943,-0.0399,Field30,blue,3960.000000000001
175.0771,9.01,,red,5.0
175.2362,14.0745,,red,5.0
175.2449,11.4711,,red,5.0
175.4609,15.9737,,red,5.0
175.5747,14.9949,,red,5.0
175.6224,18.3327,,red,5.0
175.8163,-1.3951,,red,5.0
175.8624,11.3985,,red,5.0
175.9422,13.7076,,red,5.0
176.0439,-3.6689,,red,5.0
176.1337,6.7041,,red,5.0
176.1516,19.4781,,red,5.0
176.1697,16.8995,,red,5.0
176.181,11.2072,,red,5.0
176.3175,13.8727,,red,5.0
176.361,9.1611,,red,5.0
176.474,9.8999,,red,5.0
176.5169,11.5814,,red,5.0
176.7524,-0.2939,,red,5.0
176.7792,3.1064,,red,5.0
176.823,16.3346,,red,5.0
177.0441,-1.9892,,red,5.0
177.0683,18.6424,,red,5.0
177.179,17.1811,,red,5.0
177.2102,-2.0327,,red,5.0
177.2393,23.8378,,red,5.0
177.273,17.2557,,red,5.0
